event,RMSE,MSE,MAE,WAE,time
uDreyfus1_AMORE::train_ADAPTgd_01,0.3308,0.1094,0.2567,0.7653,0.04
uDreyfus1_AMORE::train_ADAPTgd_02,0.351,0.1232,0.2718,0.7848,0.03
uDreyfus1_AMORE::train_ADAPTgd_03,0.3475,0.1208,0.2736,0.7761,0.01
uDreyfus1_AMORE::train_ADAPTgd_04,0.3478,0.121,0.275,0.7662,0.02
uDreyfus1_AMORE::train_ADAPTgd_05,0.3426,0.1174,0.2635,0.7716,0
uDreyfus1_AMORE::train_ADAPTgdwm_01,0.3471,0.1205,0.2821,0.6781,0.03
uDreyfus1_AMORE::train_ADAPTgdwm_02,0.1843,0.034,0.1218,0.4586,0.03
uDreyfus1_AMORE::train_ADAPTgdwm_03,0.1804,0.0326,0.1349,0.4287,0.03
uDreyfus1_AMORE::train_ADAPTgdwm_04,0.2157,0.0465,0.1476,0.5278,0.03
uDreyfus1_AMORE::train_ADAPTgdwm_05,0.2112,0.0446,0.1598,0.4856,0.03
uDreyfus1_AMORE::train_BATCHgd_01,0.3265,0.1066,0.2688,0.7009,1.38
uDreyfus1_AMORE::train_BATCHgd_02,0.3418,0.1168,0.274,0.7742,1.39
uDreyfus1_AMORE::train_BATCHgd_03,0.316,0.0998,0.2648,0.7087,1.39
uDreyfus1_AMORE::train_BATCHgd_04,0.3401,0.1157,0.2776,0.7317,1.39
uDreyfus1_AMORE::train_BATCHgd_05,0.3346,0.1119,0.2782,0.702,1.36
uDreyfus1_AMORE::train_BATCHgdwm_01,0.3346,0.1119,0.2777,0.7038,1.36
uDreyfus1_AMORE::train_BATCHgdwm_02,0.3402,0.1157,0.2781,0.7364,1.37
uDreyfus1_AMORE::train_BATCHgdwm_03,0.3355,0.1125,0.2791,0.7124,1.37
uDreyfus1_AMORE::train_BATCHgdwm_04,0.337,0.1135,0.2786,0.7142,1.39
uDreyfus1_AMORE::train_BATCHgdwm_05,0.3377,0.114,0.2785,0.7184,1.39
uDreyfus1_ANN2::neuralnetwork_sgd_01,0.3502,0.1226,0.2736,0.8481,0
uDreyfus1_ANN2::neuralnetwork_sgd_02,0.3493,0.122,0.2543,0.8069,0.02
uDreyfus1_ANN2::neuralnetwork_sgd_03,0.3663,0.1342,0.2666,0.8501,0.01
uDreyfus1_ANN2::neuralnetwork_sgd_04,0.3546,0.1257,0.2689,0.8075,0
uDreyfus1_ANN2::neuralnetwork_sgd_05,0.3669,0.1346,0.2695,0.8737,0.01
uDreyfus1_ANN2::neuralnetwork_adam_01,0.3303,0.1091,0.2597,0.8083,0.02
uDreyfus1_ANN2::neuralnetwork_adam_02,0.3066,0.094,0.2455,0.7236,0
uDreyfus1_ANN2::neuralnetwork_adam_03,0.2762,0.0763,0.223,0.6472,0
uDreyfus1_ANN2::neuralnetwork_adam_04,0.3495,0.1222,0.2758,0.8243,0.01
uDreyfus1_ANN2::neuralnetwork_adam_05,0.3201,0.1025,0.2542,0.7372,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_01,0.3334,0.1112,0.2715,0.747,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_02,0.3466,0.1201,0.2742,0.7746,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_03,0.3547,0.1258,0.2713,0.8085,0.01
uDreyfus1_ANN2::neuralnetwork_rmsprop_04,0.2467,0.0609,0.1728,0.6428,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_05,0.3428,0.1175,0.2766,0.7616,0.02
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_01,0.118,0.0139,0.0889,0.3574,1.11
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_02,0.0479,0.0023,0.0327,0.1331,1.14
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_03,0.0723,0.0052,0.0476,0.2335,1.11
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_04,0.0727,0.0053,0.0498,0.2215,1.1
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_05,0.121,0.0146,0.0894,0.3065,1.11
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_01,0.0725,0.0053,0.0481,0.207,0.87
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_02,0.1168,0.0137,0.0867,0.3363,0.81
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_03,0.0108,0.0001,0.0088,0.0267,0.75
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_04,0.1176,0.0138,0.085,0.3363,0.87
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_05,0.0087,0.0001,0.0065,0.0199,1.23
uDreyfus1_automl::automl_train_manual_trainwpso_01,0.1081,0.0117,0.0891,0.2283,8.54
uDreyfus1_automl::automl_train_manual_trainwpso_02,0.1052,0.0111,0.0838,0.3281,8.11
uDreyfus1_automl::automl_train_manual_trainwpso_03,0.1154,0.0133,0.0847,0.3404,2.75
uDreyfus1_automl::automl_train_manual_trainwpso_04,0.1327,0.0176,0.1124,0.3507,3.39
uDreyfus1_automl::automl_train_manual_trainwpso_05,0.1173,0.0137,0.0854,0.2817,4
uDreyfus1_brnn::brnn_Gauss-Newton_01,0.0222,0.0005,0.0175,0.0583,0
uDreyfus1_brnn::brnn_Gauss-Newton_02,0.0047,0,0.0033,0.0167,0
uDreyfus1_brnn::brnn_Gauss-Newton_03,0.0034,0,0.0029,0.0062,0
uDreyfus1_brnn::brnn_Gauss-Newton_04,0.0028,0,0.0021,0.0115,0
uDreyfus1_brnn::brnn_Gauss-Newton_05,0.0026,0,0.002,0.0107,0
uDreyfus1_CaDENCE::cadence.fit_optim_01,0.0711,0.0051,0.0413,0.211,1.02
uDreyfus1_CaDENCE::cadence.fit_optim_02,1.1678,1.3639,0.6566,2.5438,0.8
uDreyfus1_CaDENCE::cadence.fit_optim_03,0.9042,0.8176,0.5453,2.0226,0.52
uDreyfus1_CaDENCE::cadence.fit_optim_04,0.6701,0.449,0.3727,1.9004,1.15
uDreyfus1_CaDENCE::cadence.fit_optim_05,0.0032,0,0.0019,0.0168,1.66
uDreyfus1_CaDENCE::cadence.fit_psoptim_01,0.8561,0.7329,0.5101,2.0796,4.51
uDreyfus1_CaDENCE::cadence.fit_psoptim_02,0.572,0.3272,0.3001,1.6829,4.52
uDreyfus1_CaDENCE::cadence.fit_psoptim_03,0.4613,0.2128,0.2837,1.3839,4.5
uDreyfus1_CaDENCE::cadence.fit_psoptim_04,0.4218,0.1779,0.2335,1.2535,4.49
uDreyfus1_CaDENCE::cadence.fit_psoptim_05,0.6183,0.3823,0.3343,1.7263,4.54
uDreyfus1_CaDENCE::cadence.fit_Rprop_01,0.7445,0.5543,0.4047,2.2557,3.53
uDreyfus1_CaDENCE::cadence.fit_Rprop_02,3.4874,12.1617,1.9287,6.9113,3.83
uDreyfus1_CaDENCE::cadence.fit_Rprop_03,1.129,1.2746,0.8219,2.2067,3.81
uDreyfus1_CaDENCE::cadence.fit_Rprop_04,8.5349,72.8448,5.5935,17.7149,3.83
uDreyfus1_CaDENCE::cadence.fit_Rprop_05,0.3995,0.1596,0.2758,0.919,3.81
uDreyfus1_caret::avNNet_none_01,0.0064,0,0.0047,0.0166,0.01
uDreyfus1_caret::avNNet_none_02,0.054,0.0029,0.0383,0.176,0.01
uDreyfus1_caret::avNNet_none_03,0.0335,0.0011,0.0256,0.0889,0
uDreyfus1_caret::avNNet_none_04,0.0256,0.0007,0.0176,0.0816,0.01
uDreyfus1_caret::avNNet_none_05,0.0998,0.01,0.0772,0.2956,0.02
