event,RMSE,MSE,MAE,WAE,time
mDette_ANN2::neuralnetwork_rmsprop_10,2.1658,4.6907,1.5539,13.1823,0.2
mDette_automl::automl_train_manual_trainwgrad_RMSprop_01,1.2701,1.6131,0.9162,10.3725,8.67
mDette_automl::automl_train_manual_trainwgrad_RMSprop_02,0.658,0.433,0.4891,3.7119,8.45
mDette_automl::automl_train_manual_trainwgrad_RMSprop_03,0.5503,0.3028,0.4028,3.0276,8.45
mDette_automl::automl_train_manual_trainwgrad_RMSprop_04,0.7261,0.5272,0.5375,4.1567,8.47
mDette_automl::automl_train_manual_trainwgrad_RMSprop_05,0.4734,0.2241,0.3598,2.623,8.45
mDette_automl::automl_train_manual_trainwgrad_RMSprop_06,2.1448,4.6001,1.4882,13.2744,8.46
mDette_automl::automl_train_manual_trainwgrad_RMSprop_07,2.1474,4.6115,1.4436,13.7957,8.37
mDette_automl::automl_train_manual_trainwgrad_RMSprop_08,0.8675,0.7526,0.6135,6.18,8.37
mDette_automl::automl_train_manual_trainwgrad_RMSprop_09,0.8018,0.6428,0.6079,4.5024,8.39
mDette_automl::automl_train_manual_trainwgrad_RMSprop_10,1.1956,1.4294,0.8725,9.3971,8.44
mDette_automl::automl_train_manual_trainwgrad_adam_01,2.1369,4.5665,1.4486,13.9802,9.42
mDette_automl::automl_train_manual_trainwgrad_adam_02,2.2379,5.008,1.4658,14.5166,9.38
mDette_automl::automl_train_manual_trainwgrad_adam_03,2.1763,4.7363,1.5214,13.3306,9.5
mDette_automl::automl_train_manual_trainwgrad_adam_04,0.5084,0.2585,0.3844,2.3123,9.48
mDette_automl::automl_train_manual_trainwgrad_adam_05,1.3999,1.9597,0.9928,10.1621,9.42
mDette_automl::automl_train_manual_trainwgrad_adam_06,0.5342,0.2854,0.3997,2.934,9.46
mDette_automl::automl_train_manual_trainwgrad_adam_07,2.2442,5.0363,1.5099,13.3991,9.44
mDette_automl::automl_train_manual_trainwgrad_adam_08,0.6613,0.4373,0.4885,3.6053,9.38
mDette_automl::automl_train_manual_trainwgrad_adam_09,2.2329,4.986,1.4589,14.2441,9.39
mDette_automl::automl_train_manual_trainwgrad_adam_10,0.4883,0.2385,0.3833,1.7848,9.36
mDette_automl::automl_train_manual_trainwpso_01,3.7968,14.4157,3.0386,17.3409,15.79
mDette_automl::automl_train_manual_trainwpso_02,3.3941,11.52,2.516,18.7224,15.5
mDette_automl::automl_train_manual_trainwpso_03,4.329,18.7402,3.3239,18.6149,16.5
mDette_automl::automl_train_manual_trainwpso_04,6.5238,42.5596,5.4641,24.278,11.16
mDette_automl::automl_train_manual_trainwpso_05,3.0353,9.213,2.217,14.6236,19.28
mDette_automl::automl_train_manual_trainwpso_06,3.4138,11.654,2.4498,21.798,7.42
mDette_automl::automl_train_manual_trainwpso_07,3.2668,10.6717,2.3027,20.7679,8.48
mDette_automl::automl_train_manual_trainwpso_08,3.202,10.2526,2.4186,18.161,19.03
mDette_automl::automl_train_manual_trainwpso_09,2.61,6.8124,1.889,14.5915,13.63
mDette_automl::automl_train_manual_trainwpso_10,4.4028,19.3851,3.4098,18.9961,10.74
mDette_brnn::brnn_Gauss-Newton_01,0.2295,0.0526,0.1846,0.8032,0.22
mDette_brnn::brnn_Gauss-Newton_02,1.4401,2.0739,1.2338,4.246,0.22
mDette_brnn::brnn_Gauss-Newton_03,2.0575,4.2333,1.4786,12.3775,0.2
mDette_brnn::brnn_Gauss-Newton_04,0.6175,0.3813,0.4947,2.7917,0.22
mDette_brnn::brnn_Gauss-Newton_05,1.437,2.0649,1.2317,4.2109,0.22
mDette_brnn::brnn_Gauss-Newton_06,2.0519,4.2104,1.4636,12.5112,0.2
mDette_brnn::brnn_Gauss-Newton_07,1.4679,2.1546,1.252,4.5618,0.22
mDette_brnn::brnn_Gauss-Newton_08,1.5414,2.376,1.3108,5.3463,0.22
mDette_brnn::brnn_Gauss-Newton_09,2.0502,4.2033,1.4624,12.4631,0.2
mDette_brnn::brnn_Gauss-Newton_10,1.9454,3.7847,1.4703,11.6107,0.22
mDette_caret::avNNet_none_01,1.3245,1.7542,0.9248,8.0858,0.12
mDette_caret::avNNet_none_02,1.9494,3.8003,1.4291,11.132,0.14
mDette_caret::avNNet_none_03,1.5881,2.5221,1.1635,8.7467,0.13
mDette_caret::avNNet_none_04,0.8658,0.7496,0.6387,5.7698,0.12
mDette_caret::avNNet_none_05,0.8402,0.7059,0.5576,5.3944,0.12
mDette_caret::avNNet_none_06,1.3742,1.8885,0.9836,8.4815,0.11
mDette_caret::avNNet_none_07,1.4124,1.9949,0.9842,9.5588,0.11
mDette_caret::avNNet_none_08,0.5507,0.3033,0.3932,3.7046,0.14
mDette_caret::avNNet_none_09,0.5802,0.3366,0.3613,5.1423,0.12
mDette_caret::avNNet_none_10,0.904,0.8173,0.6997,5.5426,0.12
mDette_CaDENCE::cadence.fit_optim_01,0.4675,0.2186,0.3259,2.2766,7.17
mDette_CaDENCE::cadence.fit_optim_02,3.0045,9.0273,1.2786,17.8197,7.22
mDette_CaDENCE::cadence.fit_optim_03,3.0792,9.4816,1.2495,19.1363,7.28
mDette_CaDENCE::cadence.fit_optim_04,2.8975,8.3953,1.2873,21.6573,7.21
mDette_CaDENCE::cadence.fit_optim_05,0.3264,0.1066,0.2329,1.8465,7.31
mDette_CaDENCE::cadence.fit_optim_06,2.3003,5.2916,1.149,15.0839,7.41
mDette_CaDENCE::cadence.fit_optim_07,2.9384,8.6345,1.196,18.4974,7.27
mDette_CaDENCE::cadence.fit_optim_08,3.4038,11.5857,1.457,21.7057,7.25
