event,RMSE,MSE,MAE,WAE,time
mRef153_CaDENCE::cadence.fit_Rprop_01,3.7332,13.9365,2.7117,14.1601,9.96
mRef153_CaDENCE::cadence.fit_Rprop_02,3.8586,14.8892,2.8149,12.0118,10
mRef153_CaDENCE::cadence.fit_Rprop_03,8.8329,78.0207,6.5412,26.8526,9.89
mRef153_CaDENCE::cadence.fit_Rprop_04,4.3519,18.9393,3.0787,16.5513,9.97
mRef153_CaDENCE::cadence.fit_Rprop_05,4.3781,19.168,3.0915,20.1998,9.91
mRef153_deepdive::deepnet_gradientDescent_01,4.1805,17.4764,3.1843,14.4946,6.04
mRef153_deepdive::deepnet_gradientDescent_02,4.1805,17.4764,3.1843,14.4946,5.97
mRef153_deepdive::deepnet_gradientDescent_03,4.1805,17.4764,3.1843,14.4946,6
mRef153_deepdive::deepnet_gradientDescent_04,4.1805,17.4764,3.1843,14.4946,5.9
mRef153_deepdive::deepnet_gradientDescent_05,4.1805,17.4764,3.1843,14.4946,5.91
mRef153_deepdive::deepnet_momentum_01,3.8424,14.7643,2.7879,15.0474,6.14
mRef153_deepdive::deepnet_momentum_02,3.8424,14.7643,2.7879,15.0474,6.09
mRef153_deepdive::deepnet_momentum_03,3.8424,14.7643,2.7879,15.0474,6.05
mRef153_deepdive::deepnet_momentum_04,3.8424,14.7643,2.7879,15.0474,6.14
mRef153_deepdive::deepnet_momentum_05,3.8424,14.7643,2.7879,15.0474,6.03
mRef153_deepdive::deepnet_rmsProp_01,4.0384,16.3091,3.029,15.7099,0.64
mRef153_deepdive::deepnet_rmsProp_02,4.0384,16.3091,3.029,15.7099,0.63
mRef153_deepdive::deepnet_rmsProp_03,4.0384,16.3091,3.029,15.7099,0.64
mRef153_deepdive::deepnet_rmsProp_04,4.0384,16.3091,3.029,15.7099,0.62
mRef153_deepdive::deepnet_rmsProp_05,4.0384,16.3091,3.029,15.7099,0.66
mRef153_deepdive::deepnet_adam_01,3.7605,14.1414,2.6651,15.3279,0.64
mRef153_deepdive::deepnet_adam_02,3.7605,14.1414,2.6651,15.3279,0.63
mRef153_deepdive::deepnet_adam_03,3.7605,14.1414,2.6651,15.3279,0.64
mRef153_deepdive::deepnet_adam_04,3.7605,14.1414,2.6651,15.3279,0.64
mRef153_deepdive::deepnet_adam_05,3.7605,14.1414,2.6651,15.3279,0.64
mRef153_deepnet::nn.train_BP_01,5.2562,27.6281,4.4232,16.8318,0.21
mRef153_deepnet::nn.train_BP_02,3.874,15.0082,3.0589,12.495,0.2
mRef153_deepnet::nn.train_BP_03,3.6749,13.5052,2.6931,16.0661,0.2
mRef153_deepnet::nn.train_BP_04,3.4561,11.9444,2.4791,13.9788,0.2
mRef153_deepnet::nn.train_BP_05,4.0272,16.2187,2.9819,15.8992,0.22
mRef153_elmNNRcpp::elm_train_extremeML_01,16.5746,274.717,13.2297,55.3105,0
mRef153_elmNNRcpp::elm_train_extremeML_02,16.4917,271.9754,13.0574,42.1803,0
mRef153_elmNNRcpp::elm_train_extremeML_03,20.6543,426.6004,16.6956,57.7106,0
mRef153_elmNNRcpp::elm_train_extremeML_04,24.8847,619.2484,21.6203,49.2989,0
mRef153_elmNNRcpp::elm_train_extremeML_05,18.7626,352.0352,15.3993,53.2953,0
mRef153_ELMR::OSelm_train.formula_extremeML_01,18.6423,347.5344,15.4968,43.3087,0
mRef153_ELMR::OSelm_train.formula_extremeML_02,15.5973,243.2754,12.5855,38.6925,0
mRef153_ELMR::OSelm_train.formula_extremeML_03,9.4764,89.8022,7.6555,27.2034,0
mRef153_ELMR::OSelm_train.formula_extremeML_04,13.288,176.5701,11.2086,41.9893,0
mRef153_ELMR::OSelm_train.formula_extremeML_05,20.5796,423.5192,17.3451,48.3915,0
mRef153_EnsembleBase::Regression.Batch.Fit_none_01,3.3728,11.3758,2.3756,13.5448,0.01
mRef153_EnsembleBase::Regression.Batch.Fit_none_02,3.7558,14.1059,2.7195,15.3815,0.01
mRef153_EnsembleBase::Regression.Batch.Fit_none_03,3.074,9.4494,2.1085,12.955,0.01
mRef153_EnsembleBase::Regression.Batch.Fit_none_04,3.438,11.8196,2.4812,13.5954,0.02
mRef153_EnsembleBase::Regression.Batch.Fit_none_05,3.4658,12.0118,2.4557,13.8677,0.03
mRef153_h2o::h2o.deeplearning_first-order_01,3.5899,12.8874,2.7045,14.8677,4.41
mRef153_h2o::h2o.deeplearning_first-order_02,3.5349,12.4958,2.5157,14.4366,4.41
mRef153_h2o::h2o.deeplearning_first-order_03,3.2514,10.5717,2.2604,15.0053,4.36
mRef153_h2o::h2o.deeplearning_first-order_04,3.4491,11.8964,2.55,12.8888,4.42
mRef153_h2o::h2o.deeplearning_first-order_05,3.6003,12.9623,2.6641,14.8987,4.44
mRef153_keras::fit_adagrad_01,3.9503,15.6049,2.9457,14.8398,3.62
mRef153_keras::fit_adagrad_02,3.8952,15.1728,2.9304,13.7587,2.94
mRef153_keras::fit_adagrad_03,3.9141,15.3204,2.9143,13.2657,4.7
mRef153_keras::fit_adagrad_04,4.1355,17.1022,3.0587,14.7591,2.18
mRef153_keras::fit_adagrad_05,4.0172,16.1379,2.9949,13.8555,2.49
mRef153_keras::fit_adam_01,4.2211,17.8177,3.3573,14.7819,1.71
mRef153_keras::fit_adam_02,3.9276,15.4261,2.8619,14.422,0.98
mRef153_keras::fit_adam_03,4.1858,17.5212,3.1624,14.5952,1.8
mRef153_keras::fit_adam_04,4.0758,16.6119,3.0864,14.1381,1.51
mRef153_keras::fit_adam_05,4.1763,17.4414,3.2979,14.3307,1.15
mRef153_keras::fit_adamax_01,3.9479,15.5863,2.9991,15.7476,2.1
mRef153_keras::fit_adamax_02,3.9515,15.6147,2.916,14.9794,2.36
mRef153_keras::fit_adamax_03,4.291,18.4125,3.0581,16.7909,1.35
mRef153_keras::fit_adamax_04,3.8156,14.5585,2.7575,15.5093,2.61
mRef153_keras::fit_adamax_05,3.7083,13.7517,2.6777,14.4399,2.55
mRef153_keras::fit_nadam_01,4.5026,20.2737,3.4789,17.0445,1.69
mRef153_keras::fit_nadam_02,4.1675,17.3682,3.1288,16.1957,1.64
mRef153_keras::fit_nadam_03,4.1342,17.0915,3.1653,14.8016,1.35
mRef153_keras::fit_nadam_04,4.6155,21.3032,3.6437,14.6948,1.26
mRef153_keras::fit_nadam_05,4.5065,20.3089,3.4678,16.6764,1.23
mRef153_keras::fit_rmsprop_01,8.5825,73.6592,7.4554,17.161,0.77
mRef153_keras::fit_rmsprop_02,6.0547,36.6596,4.7002,16.8009,0.9
mRef153_keras::fit_rmsprop_03,6.6007,43.5688,5.4044,18.1511,1.09
mRef153_keras::fit_rmsprop_04,4.5931,21.0966,3.2339,16.3043,1.06
mRef153_keras::fit_rmsprop_05,8.3327,69.4332,6.2338,24.4995,1.16
mRef153_keras::fit_sgd_01,4.2292,17.8865,3.19,16.3345,2.19
mRef153_keras::fit_sgd_02,4.2428,18.0017,3.0444,15.5181,2.75
mRef153_keras::fit_sgd_03,3.7419,14.0019,2.7635,14.0891,2.5
mRef153_keras::fit_sgd_04,4.2184,17.7948,3.1655,16.8036,3.1
mRef153_keras::fit_sgd_05,4.2595,18.1435,3.1633,14.9157,1.45
mRef153_MachineShop::fit_none_01,3.1772,10.0949,2.2184,13.8862,0.01
mRef153_MachineShop::fit_none_02,3.4949,12.2143,2.6081,12.3914,0.01
mRef153_MachineShop::fit_none_03,3.4737,12.0666,2.4888,13.5384,0.03
mRef153_MachineShop::fit_none_04,3.2255,10.404,2.1868,14.0055,0
mRef153_MachineShop::fit_none_05,3.5671,12.7244,2.6882,14.879,0.02
mRef153_minpack.lm::nlsLM_none_01,3.4318,11.7771,2.4646,13.2825,0.07
mRef153_minpack.lm::nlsLM_none_02,3.4318,11.7771,2.4646,13.2825,0.07
mRef153_minpack.lm::nlsLM_none_03,3.4318,11.7771,2.4646,13.2825,0.07
mRef153_minpack.lm::nlsLM_none_04,3.4318,11.7771,2.4646,13.2825,0.07
mRef153_minpack.lm::nlsLM_none_05,3.4318,11.7771,2.4646,13.2825,0.06
mRef153_monmlp::monmlp.fit_BFGS_01,3.3573,11.2714,2.3632,13.2846,0.22
mRef153_monmlp::monmlp.fit_BFGS_02,3.2363,10.4739,2.1935,14.2748,0.22
mRef153_monmlp::monmlp.fit_BFGS_03,3.4439,11.8606,2.5046,15.7135,0.24
mRef153_monmlp::monmlp.fit_BFGS_04,3.236,10.4717,2.2071,14.2052,0.22
mRef153_monmlp::monmlp.fit_BFGS_05,3.2361,10.4726,2.1899,14.0562,0.22
mRef153_monmlp::monmlp.fit_Nelder-Mead_01,4.0293,16.2354,2.9964,15.0239,0.5
mRef153_monmlp::monmlp.fit_Nelder-Mead_02,4.2306,17.8976,3.2283,15.6545,0.49
mRef153_monmlp::monmlp.fit_Nelder-Mead_03,4.1087,16.8818,3.0462,15.8068,0.5
mRef153_monmlp::monmlp.fit_Nelder-Mead_04,3.771,14.2203,2.794,14.0924,0.5
mRef153_monmlp::monmlp.fit_Nelder-Mead_05,4.3513,18.9336,3.3032,15.0511,0.73
mRef153_neuralnet::neuralnet_slr_01,3.9883,15.9064,2.9187,15.3885,0.02
mRef153_neuralnet::neuralnet_slr_02,3.8201,14.5934,2.8021,14.822,0.06
mRef153_neuralnet::neuralnet_slr_03,4.3367,18.807,3.1699,16.6461,0
mRef153_neuralnet::neuralnet_slr_04,3.9039,15.2404,2.8552,14.9985,0.04
mRef153_neuralnet::neuralnet_slr_05,4.1592,17.2991,3.0245,17.3487,0.01
mRef153_neuralnet::neuralnet_sag_01,3.5158,12.3606,2.5783,14.19,0.09
mRef153_neuralnet::neuralnet_sag_02,3.9447,15.5603,2.8545,16.7853,0.03
mRef153_neuralnet::neuralnet_sag_03,3.7868,14.3399,2.6065,16.4595,3.66
mRef153_neuralnet::neuralnet_sag_04,3.3829,11.4438,2.3192,14.1818,0.33
mRef153_neuralnet::neuralnet_sag_05,3.8932,15.1567,2.7822,16.3454,0.26
mRef153_neuralnet::neuralnet_rprop-_01,3.9379,15.5068,2.8577,16.2811,0.01
mRef153_neuralnet::neuralnet_rprop-_02,3.4657,12.0109,2.4968,13.8651,0.03
mRef153_neuralnet::neuralnet_rprop-_03,4.1038,16.841,3.0866,16.5008,0
mRef153_neuralnet::neuralnet_rprop-_04,3.4919,12.1937,2.5081,14.5879,0
mRef153_neuralnet::neuralnet_rprop-_05,4.0234,16.1874,2.9809,15.5126,0.01
