"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.046,4.7958,4.8043,0.00849999999999973,3.9113,12.5672,1
"AMORE::train_ADAPTgdwm",0.08,4.4658,5.1079,0.6421,3.6709,20.032,2
"AMORE::train_BATCHgd",1.556,5.0863,5.2682,0.181900000000001,4.1337,14.8772,3
"AMORE::train_BATCHgdwm",1.566,5.0868,5.2355,0.1487,4.1127,14.7918,4
"ANN2::neuralnetwork_adam",0.082,3.1354,3.6437,0.5083,2.89,10.5979,5
"ANN2::neuralnetwork_rmsprop",0.082,2.9727,3.2852,0.3125,2.5929,9.642,6
"ANN2::neuralnetwork_sgd",0.08,4.8318,4.8821,0.0503,3.8567,14.4928,7
"automl::automl_train_manual_trainwgrad_adam",4.984,3.1214,3.4986,0.3772,2.725,9.7689,8
"automl::automl_train_manual_trainwgrad_RMSprop",4.398,3.5555,3.7519,0.1964,3.0224,11.8905,9
"automl::automl_train_manual_trainwpso",6.586,4.8318,6.6613,1.8295,4.7306,20.0899,10
"brnn::brnn_Gauss-Newton",0.026,2.8273,3.1966,0.3693,2.5109,10.0153,11
"CaDENCE::cadence.fit_optim",2.334,2.4116,2.8622,0.4506,2.2233,7.871,12
"CaDENCE::cadence.fit_psoptim",5.746,10.8502,14.8615,4.0113,11.6021,34.5796,13
"CaDENCE::cadence.fit_Rprop",5.79,9.1862,21.8896,12.7034,15.2197,62.4249,14
"caret::avNNet_none",0.08,2.4976,3.1181,0.6205,2.3743,9.6517,15
"deepdive::deepnet_adam",0.624,10.0466,10.0466,0,7.3484,31.6838,16
"deepdive::deepnet_gradientDescent",5.946,32.2441,32.2441,0,27.7063,70.1972,17
"deepdive::deepnet_momentum",6.146,32.2413,32.2413,0,27.7055,70.2077,18
"deepdive::deepnet_rmsProp",0.622,20.7977,20.7977,0,15.4531,49.0396,19
"deepnet::nn.train_BP",0.3,3.5001,3.7035,0.2034,2.918,12.1143,20
"elmNNRcpp::elm_train_extremeML",0,8.4445,19.1869,10.7424,16.8753,35.7678,21
"ELMR::OSelm_train.formula_extremeML",0.01,31.0706,41.2586,10.188,33.0051,112.2972,22
"EnsembleBase::Regression.Batch.Fit_none",0.036,2.3829,3.1571,0.7742,2.4537,9.9903,23
"h2o::h2o.deeplearning_first-order",4.706,2.9525,3.2931,0.3406,2.5635,9.9032,24
"keras::fit_adadelta",19.964,3.9293,4.3921,0.4628,3.3906,13.1185,25
"keras::fit_adagrad",13.448,3.476,4.8342,1.3582,3.791,14.2616,26
"keras::fit_adam",2.296,3.2791,4.084,0.8049,3.1478,11.9057,27
"keras::fit_adamax",5.008,2.5583,2.9976,0.4393,2.3357,9.711,28
"keras::fit_nadam",2.708,3.2682,3.46,0.1918,2.8802,9.8016,29
"keras::fit_rmsprop",1.89,5.4568,6.4457,0.9889,5.4036,15.4436,30
"keras::fit_sgd",5.274,4.861,5.1138,0.252800000000001,3.9761,15.1244,31
"MachineShop::fit_none",0.034,2.3086,3.1576,0.849,2.494,9.7409,32
"minpack.lm::nlsLM_none",0.04,3.1472,3.1472,0,2.4837,9.7293,33
"monmlp::monmlp.fit_BFGS",0.22,2.9135,3.5782,0.6647,2.8497,10.8707,34
"monmlp::monmlp.fit_Nelder-Mead",0.424,5.8001,7.3161,1.516,5.7523,20.8098,35
"neuralnet::neuralnet_backprop",0.302,3.8802,4.2928,0.4126,3.4361,11.4729,36
"neuralnet::neuralnet_rprop-",0.036,2.6706,3.6253,0.9547,2.8533,9.9037,37
"neuralnet::neuralnet_rprop+",0.066,2.5491,3.62,1.0709,2.8585,10.5212,38
"neuralnet::neuralnet_sag",1.016,2.7247,3.8181,1.0934,2.829,11.6167,39
"neuralnet::neuralnet_slr",0.102,2.8318,3.784,0.9522,3.0024,10.4,40
"nlsr::nlxb_none",0.11,2.2991,2.8185,0.5194,2.2078,7.5077,41
"nnet::nnet_none",0.02,2.3554,3.1706,0.8152,2.5057,9.8058,42
"qrnn::qrnn.fit_none",0.208,2.7773,3.9015,1.1242,2.8959,13.2058,43
"radiant.model::nn_none",0.046,2.6848,3.4127,0.7279,2.7026,10.5356,44
"rminer::fit_none",0.062,2.3033,2.3232,0.0198999999999998,1.8528,7.0323,45
"RSNNS::mlp_BackpropBatch",3.274,6.7104,9.7422,3.0318,7.6756,23.2263,46
"RSNNS::mlp_BackpropChunk",0.32,2.928,3.8323,0.9043,3.0061,11.0342,47
"RSNNS::mlp_BackpropMomentum",0.32,2.9271,3.2533,0.3262,2.6246,8.8194,48
"RSNNS::mlp_BackpropWeightDecay",0.36,2.8723,3.0215,0.1492,2.3931,8.5837,49
"RSNNS::mlp_Quickprop",3.518,27.8595,28.8119,0.952400000000001,22.8776,59.8157,50
"RSNNS::mlp_Rprop",0.352,2.9609,8.8744,5.9135,6.02,30.187,51
"RSNNS::mlp_SCG",0.538,3.3416,3.7196,0.378,2.9009,11.2479,52
"RSNNS::mlp_Std_Backpropagation",0.316,3.0294,3.2409,0.2115,2.6432,9.4181,53
"snnR::snnR_none",0.032,5.2818,5.2818,0,4.0957,15.6475,54
"traineR::train.nnet_none",0.02,2.2976,2.8669,0.5693,2.2422,7.9607,55
"validann::ann_BFGS",0.744,2.3046,2.8185,0.5139,2.2078,7.5077,56
"validann::ann_CG",37.49,2.499,3.5798,1.0808,2.7264,11.3586,57
"validann::ann_L-BFGS-B",0.87,2.5172,3.545,1.0278,2.7137,10.7114,58
"validann::ann_Nelder-Mead",30.822,4.9577,5.3229,0.3652,4.3142,15.0154,59
"validann::ann_SANN",0.21,6.9649,10.8474,3.8825,8.3651,26.5278,60
