event,RMSE,MSE,MAE,WAE,time
uNeuroOne_minpack.lm::nlsLM_none_09,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_10,1.272,1.6181,1.1104,2.515,0
uNeuroOne_minpack.lm::nlsLM_none_11,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_12,0.283,0.0801,0.2313,0.5675,0.01
uNeuroOne_minpack.lm::nlsLM_none_13,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_14,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_15,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_16,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_17,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_18,0.283,0.0801,0.2313,0.5675,0.01
uNeuroOne_minpack.lm::nlsLM_none_19,0.283,0.0801,0.2313,0.5675,0
uNeuroOne_minpack.lm::nlsLM_none_20,1.272,1.6181,1.1104,2.515,0
uNeuroOne_monmlp::monmlp.fit_BFGS_01,0.2832,0.0802,0.2312,0.576,0.18
uNeuroOne_monmlp::monmlp.fit_BFGS_02,0.2833,0.0803,0.231,0.5763,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_03,0.2837,0.0805,0.2322,0.5474,0.18
uNeuroOne_monmlp::monmlp.fit_BFGS_04,0.2832,0.0802,0.231,0.5788,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_05,0.2831,0.0802,0.2312,0.5747,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_06,0.283,0.0801,0.2313,0.5692,0.17
uNeuroOne_monmlp::monmlp.fit_BFGS_07,0.283,0.0801,0.2313,0.5686,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_08,0.2835,0.0804,0.2311,0.5876,0.18
uNeuroOne_monmlp::monmlp.fit_BFGS_09,0.2839,0.0806,0.232,0.5856,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_10,0.2832,0.0802,0.2312,0.575,0.18
uNeuroOne_monmlp::monmlp.fit_BFGS_11,0.2834,0.0803,0.2311,0.582,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_12,0.283,0.0801,0.2313,0.569,0.18
uNeuroOne_monmlp::monmlp.fit_BFGS_13,0.2831,0.0801,0.2311,0.5734,0.19
uNeuroOne_monmlp::monmlp.fit_BFGS_14,0.2831,0.0801,0.2312,0.5694,0.18
