mDette.pfa,mDette.time.mean,mDette.RMSE.min,mDette.RMSE.med,mDette.RMSE.d51,mDette.MAE.med,mDette.WAE.med,mDette.npfa,mDette.time.rank,mDette.RMSE.rank,mDette.RMSEmed.rank,mDette.RMSEd51.rank,mDette.MAE.rank,mDette.WAE.rank,mFriedman.pfa,mFriedman.time.mean,mFriedman.RMSE.min,mFriedman.RMSE.med,mFriedman.RMSE.d51,mFriedman.MAE.med,mFriedman.WAE.med,mFriedman.npfa,mFriedman.time.rank,mFriedman.RMSE.rank,mFriedman.RMSEmed.rank,mFriedman.RMSEd51.rank,mFriedman.MAE.rank,mFriedman.WAE.rank,mIshigami.pfa,mIshigami.time.mean,mIshigami.RMSE.min,mIshigami.RMSE.med,mIshigami.RMSE.d51,mIshigami.MAE.med,mIshigami.WAE.med,mIshigami.npfa,mIshigami.time.rank,mIshigami.RMSE.rank,mIshigami.RMSEmed.rank,mIshigami.RMSEd51.rank,mIshigami.MAE.rank,mIshigami.WAE.rank,mRef153.pfa,mRef153.time.mean,mRef153.RMSE.min,mRef153.RMSE.med,mRef153.RMSE.d51,mRef153.MAE.med,mRef153.WAE.med,mRef153.npfa,mRef153.time.rank,mRef153.RMSE.rank,mRef153.RMSEmed.rank,mRef153.RMSEd51.rank,mRef153.MAE.rank,mRef153.WAE.rank,uDmod2.pfa,uDmod2.time.mean,uDmod2.RMSE.min,uDmod2.RMSE.med,uDmod2.RMSE.d51,uDmod2.MAE.med,uDmod2.WAE.med,uDmod2.npfa,uDmod2.time.rank,uDmod2.RMSE.rank,uDmod2.RMSEmed.rank,uDmod2.RMSEd51.rank,uDmod2.MAE.rank,uDmod2.WAE.rank,uDreyfus1.pfa,uDreyfus1.time.mean,uDreyfus1.RMSE.min,uDreyfus1.RMSE.med,uDreyfus1.RMSE.d51,uDreyfus1.MAE.med,uDreyfus1.WAE.med,uDreyfus1.npfa,uDreyfus1.time.rank,uDreyfus1.RMSE.rank,uDreyfus1.RMSEmed.rank,uDreyfus1.RMSEd51.rank,uDreyfus1.MAE.rank,uDreyfus1.WAE.rank,uGauss2.pfa,uGauss2.time.mean,uGauss2.RMSE.min,uGauss2.RMSE.med,uGauss2.RMSE.d51,uGauss2.MAE.med,uGauss2.WAE.med,uGauss2.npfa,uGauss2.time.rank,uGauss2.RMSE.rank,uGauss2.RMSEmed.rank,uGauss2.RMSEd51.rank,uGauss2.MAE.rank,uGauss2.WAE.rank,uNeuroOne.pfa,uNeuroOne.time.mean,uNeuroOne.RMSE.min,uNeuroOne.RMSE.med,uNeuroOne.RMSE.d51,uNeuroOne.MAE.med,uNeuroOne.WAE.med,uNeuroOne.npfa,uNeuroOne.time.rank,uNeuroOne.RMSE.rank,uNeuroOne.RMSEmed.rank,uNeuroOne.RMSEd51.rank,uNeuroOne.MAE.rank,uNeuroOne.WAE.rank
h2o::h2o.deeplearning_first-order,6.274,0.3696,0.3789,0.00930000000000003,0.2948,1.3228,24,42,10,3,9,3,2,h2o::h2o.deeplearning_first-order,6.046,0.0225,0.0261,0.0036,0.0204,0.0902,24,43,22,17,24,18,17,h2o::h2o.deeplearning_first-order,6.462,0.8347,0.8467,0.012,0.6295,3.6234,24,43,24,16,10,17,18,h2o::h2o.deeplearning_first-order,4.408,3.2514,3.5349,0.2835,2.55,14.8677,24,52,15,20,36,21,37,h2o::h2o.deeplearning_first-order,3.342,0.0474,0.0482,0.000800000000000002,0.0394,0.1126,24,50,8,4,7,5,4,h2o::h2o.deeplearning_first-order,3.334,0.0131,0.0146,0.0015,0.0112,0.0432,24,50,14,10,13,10,10,h2o::h2o.deeplearning_first-order,4.394,2.8574,3.4454,0.588,2.7928,11.6466,24,47,13,10,19,12,12,h2o::h2o.deeplearning_first-order,3.344,0.2831,0.2832,0.000099999999999989,0.2331,0.5539,24,51,15,13,22,16,2
keras::fit_adadelta,29.372,2.0733,2.308,0.2347,1.589,13.708,25,60,44,42,34,41,42,keras::fit_adadelta,29.424,0.0257,0.0267,0.001,0.0211,0.0948,25,60,25,20,12,21,19,keras::fit_adadelta,31.676,2.4074,2.6007,0.1933,2.2281,6.9184,25,57,39,41,44,44,34,keras::fit_adadelta,7.872,3.8172,3.9063,0.0890999999999997,2.9028,14.4159,25,57,45,38,16,40,27,keras::fit_adadelta,26.68,0.1746,0.1792,0.00459999999999999,0.1379,0.4116,25,58,42,35,12,32,32,keras::fit_adadelta,10.958,0.2178,0.3498,0.132,0.2655,0.804,25,58,40,50,53,40,50,keras::fit_adadelta,51.048,3.8515,3.8918,0.0402999999999998,2.8916,15.271,25,60,29,15,8,13,22,keras::fit_adadelta,19.378,0.2871,0.2879,0.000799999999999967,0.2377,0.5887,25,59,27,19,28,21,21
keras::fit_adagrad,18.384,1.5412,2.2114,0.6702,1.5982,12.7204,26,59,37,40,46,42,41,keras::fit_adagrad,14.836,0.0296,0.0842,0.0546,0.0747,0.2012,26,57,28,37,54,37,32,keras::fit_adagrad,31.856,0.8522,2.5746,1.7224,2.1958,6.9534,26,58,26,38,59,43,35,keras::fit_adagrad,3.186,3.8952,3.9503,0.0550999999999999,2.9457,13.8555,26,50,49,42,12,43,14,keras::fit_adagrad,13.616,0.1597,0.1792,0.0195,0.1379,0.4143,26,57,39,34,28,33,33,keras::fit_adagrad,5.918,0.163,0.3528,0.1898,0.2697,0.8045,26,57,35,52,58,43,51,keras::fit_adagrad,31.862,5.0447,8.881,3.8363,6.5481,25.2992,26,58,37,43,53,43,40,keras::fit_adagrad,13.868,0.2893,0.2936,0.00430000000000003,0.2429,0.5637,26,58,29,29,39,28,5
keras::fit_adam,2.068,0.7615,1.0487,0.2872,0.7949,6.3699,27,37,32,25,37,25,25,keras::fit_adam,2.16,0.0636,0.0774,0.0138,0.0612,0.2686,27,34,41,33,38,35,40,keras::fit_adam,2.796,0.9777,1.0728,0.0951,0.7886,4.0357,27,37,28,23,33,23,23,keras::fit_adam,1.43,3.9276,4.1763,0.2487,3.1624,14.422,27,40,51,49,34,50,28,keras::fit_adam,2.338,0.0963,0.1767,0.0804,0.1397,0.4913,27,48,30,32,55,35,39,keras::fit_adam,2.808,0.0706,0.0897,0.0191,0.069,0.2075,27,49,23,23,30,23,18,keras::fit_adam,3.046,3.9732,6.7909,2.8177,5.1083,18.939,27,43,32,32,47,31,29,keras::fit_adam,1.32,0.2869,0.2875,0.000599999999999989,0.234,0.5886,27,47,26,17,26,17,20
keras::fit_adamax,4.386,0.6492,0.6952,0.046,0.5462,4.1959,28,41,30,19,16,22,23,keras::fit_adamax,4.326,0.0326,0.0395,0.0069,0.0319,0.114,28,40,30,25,31,25,22,keras::fit_adamax,5.302,0.8307,0.8615,0.0308,0.6388,3.6379,28,41,23,18,14,18,19,keras::fit_adamax,2.194,3.7083,3.9479,0.2396,2.916,15.5093,28,46,39,41,33,41,44,keras::fit_adamax,3.696,0.1082,0.1728,0.0646,0.1393,0.3885,28,51,32,31,50,34,31,keras::fit_adamax,5.074,0.0365,0.0487,0.0122,0.0404,0.1489,28,53,19,13,26,13,13,keras::fit_adamax,6.844,3.8559,4.2292,0.3733,3.318,12.7852,28,54,30,18,15,19,16,keras::fit_adamax,2.502,0.2841,0.2864,0.00229999999999997,0.2366,0.5789,28,49,17,16,34,19,17
keras::fit_nadam,3.422,1.0271,1.2485,0.2214,0.9787,4.979,29,39,35,27,33,27,24,keras::fit_nadam,2.482,0.0732,0.0992,0.026,0.0817,0.3144,29,36,43,43,49,43,42,keras::fit_nadam,3.264,1.08,2.7592,1.6792,2.3587,8.0273,29,38,32,49,58,51,43,keras::fit_nadam,1.434,4.1342,4.5026,0.3684,3.4678,16.1957,29,41,53,55,46,55,52,keras::fit_nadam,2.46,0.1201,0.1884,0.0683,0.1486,0.5214,29,49,35,36,51,36,43,keras::fit_nadam,2.082,0.0648,0.155,0.0902,0.1179,0.397,29,47,22,30,50,30,31,keras::fit_nadam,3.374,4.2819,7.1607,2.8788,5.6164,19.4085,29,45,34,33,48,33,31,keras::fit_nadam,1.518,0.2855,0.2896,0.00410000000000005,0.2437,0.6055,29,48,24,22,37,30,25
keras::fit_rmsprop,1.836,2.678,3.2516,0.5736,2.3382,16.3052,30,34,46,46,45,47,44,keras::fit_rmsprop,2.24,0.101,0.1147,0.0137,0.086,0.3822,30,35,49,45,37,47,47,keras::fit_rmsprop,1.924,2.8335,3.0118,0.1783,2.455,9.4367,30,32,53,53,42,52,49,keras::fit_rmsprop,0.996,4.5931,6.6007,2.0076,5.4044,17.161,30,38,56,56,58,56,56,keras::fit_rmsprop,1.744,0.1629,0.2166,0.0537,0.1697,0.5175,30,45,40,40,47,41,42,keras::fit_rmsprop,0.942,0.3101,0.3622,0.0521,0.2798,0.9265,30,42,46,54,42,53,55,keras::fit_rmsprop,2.276,8.1016,10.2651,2.1635,7.5917,28.4689,30,41,44,48,41,49,43,keras::fit_rmsprop,1.108,0.3042,0.3629,0.0587,0.3049,0.7486,30,43,43,49,54,49,43
keras::fit_sgd,8.816,0.5726,2.3026,1.73,1.6878,10.2998,31,51,26,41,56,43,35,keras::fit_sgd,4.136,0.0365,0.0527,0.0162,0.0403,0.1922,31,39,31,29,41,29,31,keras::fit_sgd,2.788,2.7076,2.7302,0.0226000000000002,2.3252,7.5362,31,36,50,47,12,48,39,keras::fit_sgd,2.398,3.7419,4.2292,0.4873,3.1633,15.5181,31,47,42,52,52,51,46,keras::fit_sgd,1.868,0.2431,0.3056,0.0625,0.2606,0.6923,31,46,50,57,49,58,58,keras::fit_sgd,2.312,0.3373,0.345,0.00769999999999998,0.2698,0.7744,31,48,52,47,23,44,46,keras::fit_sgd,9.784,5.1907,8.8123,3.6216,6.48,24.851,31,56,38,42,52,42,38,keras::fit_sgd,3.468,0.2901,0.2922,0.00209999999999999,0.241,0.5769,31,52,31,24,32,24,16
MachineShop::fit_none,0.076,0.257,1.2314,0.9744,0.9854,8.0327,32,4,3,26,50,28,29,MachineShop::fit_none,0.106,0.0085,0.0116,0.0031,0.0092,0.036,32,7,4,6,22,6,4,MachineShop::fit_none,0.152,0.6685,2.1956,1.5271,1.7857,5.3089,32,4,10,29,56,30,26,MachineShop::fit_none,0.014,3.1772,3.4737,0.2965,2.4888,13.8862,32,5,7,17,37,16,15,MachineShop::fit_none,0.012,0.0406,0.0494,0.0088,0.0374,0.1288,32,7,3,5,19,4,6,MachineShop::fit_none,0.01,0.0023,0.0034,0.0011,0.0028,0.0102,32,14,6,6,12,6,6,MachineShop::fit_none,0.024,2.5986,3.121,0.5224,2.4847,9.3644,32,4,10,7,18,8,6,MachineShop::fit_none,0.01,0.283,0.283,0,0.2313,0.5675,32,15,6,5,9,5,7
minpack.lm::nlsLM_none,0.242,0.6081,0.6081,0,0.4989,1.9776,33,16,28,16,5,18,8,minpack.lm::nlsLM_none,0.38,0.1269,0.1269,0,0.1009,0.3714,33,19,52,49,5,51,45,minpack.lm::nlsLM_none,0.94,2.5379,2.5379,0,2.0524,7.6035,33,24,42,35,5,35,40,minpack.lm::nlsLM_none,0.068,3.4318,3.4318,0,2.4646,13.2825,33,20,24,12,5,15,4,minpack.lm::nlsLM_none,0.024,0.0427,0.0427,0,0.0333,0.1058,33,16,4,1,5,1,1,minpack.lm::nlsLM_none,0,0,0,0,0,0.0001,33,4,1,1,5,1,1,minpack.lm::nlsLM_none,0.05,2.9795,2.9795,0,2.389,9.054,33,9,14,5,5,5,4,minpack.lm::nlsLM_none,0.004,1.272,1.272,0,1.1104,2.515,33,6,60,60,10,60,60
monmlp::monmlp.fit_BFGS,0.298,0.3732,0.4512,0.078,0.338,1.8359,34,19,11,8,18,8,5,monmlp::monmlp.fit_BFGS,0.308,0.0132,0.0139,0.000699999999999999,0.011,0.0465,34,18,13,8,11,9,8,monmlp::monmlp.fit_BFGS,0.46,0.8185,0.9739,0.1554,0.7577,3.6164,34,15,22,21,40,22,17,monmlp::monmlp.fit_BFGS,0.224,3.236,3.2363,0.000299999999999745,2.2071,14.2052,34,29,12,4,7,4,20,monmlp::monmlp.fit_BFGS,0.21,0.0522,0.0796,0.0274,0.0625,0.228,34,30,13,17,37,19,21,monmlp::monmlp.fit_BFGS,0.19,0.0323,0.0541,0.0218,0.0434,0.1524,34,33,18,14,31,14,14,monmlp::monmlp.fit_BFGS,0.224,3.0438,4.6769,1.6331,3.6151,13.7834,34,23,15,23,39,23,18,monmlp::monmlp.fit_BFGS,0.194,0.2831,0.2834,0.000299999999999967,0.2312,0.581,34,34,13,14,23,4,18
monmlp::monmlp.fit_Nelder-Mead,1.1,3.0247,3.4557,0.431,2.5277,18.0917,35,30,49,47,41,48,47,monmlp::monmlp.fit_Nelder-Mead,1.084,0.1155,0.1219,0.00639999999999999,0.096,0.3777,35,30,51,47,28,48,46,monmlp::monmlp.fit_Nelder-Mead,1.6,2.7368,2.8463,0.1095,2.3257,8.7509,35,31,51,51,34,49,44,monmlp::monmlp.fit_Nelder-Mead,0.544,3.771,4.1087,0.3377,3.0462,15.0511,35,33,44,47,43,46,39,monmlp::monmlp.fit_Nelder-Mead,0.37,0.1342,0.178,0.0438,0.1371,0.4534,35,32,37,33,44,31,36,monmlp::monmlp.fit_Nelder-Mead,0.27,0.1425,0.2017,0.0592,0.1653,0.4572,35,34,34,32,46,33,32,monmlp::monmlp.fit_Nelder-Mead,0.412,8.2728,9.5898,1.317,6.7817,30.1673,35,31,46,46,35,45,47,monmlp::monmlp.fit_Nelder-Mead,0.224,0.302,0.3266,0.0246,0.2601,0.6451,35,36,42,42,45,38,36
neuralnet::neuralnet_backprop,14.2,8.1656,8.1656,0,6.5262,36.2385,36,57,60,59,6,58,58,neuralnet::neuralnet_backprop,14.676,0.2348,0.2348,0,0.188,0.6346,36,55,60,60,6,58,58,neuralnet::neuralnet_backprop,23.958,3.6898,3.6898,0,2.9776,13.1137,36,53,59,59,6,58,57,neuralnet::neuralnet_backprop,0.104,3.8593,4.2101,0.3508,3.1568,14.389,36,21,48,51,44,49,25,neuralnet::neuralnet_backprop,0.372,0.1091,0.1355,0.0264,0.1084,0.3411,36,33,33,30,35,30,30,neuralnet::neuralnet_backprop,0.04,0.3201,0.3503,0.0302,0.2743,0.7831,36,22,49,51,36,50,48,neuralnet::neuralnet_backprop,0.866,4.2479,4.3983,0.1504,3.4494,12.7619,36,37,33,20,9,20,15,neuralnet::neuralnet_backprop,0.152,0.2898,0.2926,0.00280000000000002,0.2423,0.5889,36,32,30,25,35,27,22
neuralnet::neuralnet_rprop-,6.318,0.5338,2.0473,1.5135,1.4437,12.5391,37,43,24,38,55,32,39,neuralnet::neuralnet_rprop-,5.058,0.0095,0.011,0.0015,0.0085,0.0412,37,41,7,4,14,4,7,neuralnet::neuralnet_rprop-,1.954,0.6728,0.7126,0.0398000000000001,0.5316,2.8674,37,33,11,5,18,7,2,neuralnet::neuralnet_rprop-,0.01,3.4657,3.9379,0.4722,2.8577,15.5126,37,3,30,40,51,37,45,neuralnet::neuralnet_rprop-,0.062,0.0955,0.1186,0.0231,0.092,0.2812,37,20,29,27,32,26,27,neuralnet::neuralnet_rprop-,0.008,0.1014,0.2856,0.1842,0.2227,0.7157,37,13,30,36,57,36,38,neuralnet::neuralnet_rprop-,0.08,3.5904,4.402,0.8116,3.4777,14.156,37,15,25,21,27,21,19,neuralnet::neuralnet_rprop-,0.01,0.2864,0.2935,0.0071,0.248,0.6059,37,16,25,27,42,34,26
neuralnet::neuralnet_rprop+,3.836,0.4859,0.5467,0.0608,0.4149,2.341,38,40,22,12,17,12,13,neuralnet::neuralnet_rprop+,5.862,0.0102,0.0106,0.000399999999999999,0.0083,0.0356,38,42,9,3,8,3,3,neuralnet::neuralnet_rprop+,4.596,0.5788,0.665,0.0862000000000001,0.5052,2.7746,38,39,3,2,30,3,1,neuralnet::neuralnet_rprop+,0.018,3.4475,3.9946,0.5471,2.806,16.5481,38,8,26,44,53,36,54,neuralnet::neuralnet_rprop+,0.036,0.1077,0.1207,0.013,0.0926,0.2648,38,18,31,28,24,27,26,neuralnet::neuralnet_rprop+,0.004,0.2119,0.3475,0.1356,0.2662,0.791,38,7,38,48,54,41,49,neuralnet::neuralnet_rprop+,0.064,3.6133,8.6404,5.0271,6.1594,25.2448,38,12,27,39,57,39,39,neuralnet::neuralnet_rprop+,0,0.2848,0.3165,0.0317,0.2586,0.6196,38,3,21,38,50,37,28
neuralnet::neuralnet_sag,12.916,2.1196,8.1656,6.046,6.5262,36.2385,39,55,45,58,59,59,59,neuralnet::neuralnet_sag,13.202,0.0806,0.2348,0.1542,0.188,0.6346,39,54,44,59,59,59,59,neuralnet::neuralnet_sag,25.218,3.6898,3.6898,0,2.9776,13.1137,39,55,60,60,7,59,58,neuralnet::neuralnet_sag,0.874,3.3829,3.7868,0.4039,2.6065,16.3454,39,36,23,31,47,24,53,neuralnet::neuralnet_sag,0.95,0.0811,0.116,0.0349,0.0943,0.296,39,40,26,26,39,28,28,neuralnet::neuralnet_sag,0.048,0.1963,0.3371,0.1408,0.2652,0.751,39,23,37,41,55,39,42,neuralnet::neuralnet_sag,1.916,3.3723,8.639,5.2667,6.1167,24.7388,39,40,19,38,58,37,37,neuralnet::neuralnet_sag,0.056,0.2893,0.3212,0.0319,0.2638,0.6316,39,22,28,40,51,41,32
neuralnet::neuralnet_slr,6.914,0.5494,0.5688,0.0194,0.4293,2.4012,40,45,25,14,11,14,14,neuralnet::neuralnet_slr,12.928,0.069,0.2348,0.1658,0.188,0.6346,40,53,42,58,60,60,60,neuralnet::neuralnet_slr,24.586,0.6816,3.6898,3.0082,2.9776,13.1137,40,54,12,58,60,60,59,neuralnet::neuralnet_slr,0.026,3.8201,3.9883,0.1682,2.9187,15.3885,40,11,46,43,24,42,43,neuralnet::neuralnet_slr,0.092,0.084,0.1039,0.0199,0.0866,0.2554,40,25,28,25,29,25,24,neuralnet::neuralnet_slr,0.012,0.2981,0.345,0.0469,0.273,0.7821,40,15,45,46,40,48,47,neuralnet::neuralnet_slr,0.19,3.5678,3.7435,0.1757,2.7163,14.9299,40,21,23,12,10,11,20,neuralnet::neuralnet_slr,0.052,0.2923,0.3203,0.028,0.2607,0.8073,40,21,35,39,47,39,48
nlsr::nlxb_none,0.522,0.14,0.45,0.31,0.3497,2.7841,41,21,1,7,38,9,17,nlsr::nlxb_none,0.762,0.0045,0.0061,0.0016,0.0048,0.0196,41,27,1,2,15,2,2,nlsr::nlxb_none,1.47,0.6602,2.2311,1.5709,1.8053,5.7864,41,30,9,30,57,31,28,nlsr::nlxb_none,0.116,3.1128,3.4349,0.3221,2.4566,14.5501,41,22,5,13,39,13,32,nlsr::nlxb_none,0.036,0.0427,0.0427,0,0.0333,0.1058,41,19,5,2,6,2,2,nlsr::nlxb_none,0.014,0,0,0,0,0.0001,41,17,2,2,6,2,2,nlsr::nlxb_none,0.118,2.3327,2.9754,0.6427,2.3838,9.0619,41,20,1,4,22,4,5,nlsr::nlxb_none,0.008,0.283,0.283,0,0.2313,0.5675,41,12,5,4,11,6,8
nnet::nnet_none,0.078,0.265,0.4735,0.2085,0.3557,2.0121,42,5,5,10,31,10,10,nnet::nnet_none,0.102,0.0091,0.012,0.0029,0.0094,0.0404,42,5,5,7,21,7,6,nnet::nnet_none,0.152,0.5462,0.6959,0.1497,0.5147,3.0034,42,5,2,4,38,5,8,nnet::nnet_none,0.012,3.0865,3.2253,0.1388,2.2336,13.9974,42,4,2,2,21,5,18,nnet::nnet_none,0.008,0.0602,0.0615,0.0013,0.0489,0.1408,42,4,17,10,8,9,8,nnet::nnet_none,0.004,0.0026,0.0716,0.069,0.0449,0.2254,42,8,8,18,49,15,21,nnet::nnet_none,0.026,2.3625,3.0894,0.7269,2.4567,9.4881,42,5,4,6,25,7,7,nnet::nnet_none,0,0.283,0.283,0,0.2313,0.5675,42,4,2,1,12,7,9
qrnn::qrnn.fit_none,0.518,0.3632,0.7514,0.3882,0.4482,6.6249,43,20,9,22,40,15,26,qrnn::qrnn.fit_none,0.578,0.0105,0.0296,0.0191,0.019,0.133,43,20,10,21,43,17,24,qrnn::qrnn.fit_none,1.122,0.7656,0.7907,0.0251,0.4951,4.0838,43,28,18,11,13,1,24,qrnn::qrnn.fit_none,0.18,3.2636,3.454,0.1904,2.1362,15.284,43,24,16,16,28,1,41,qrnn::qrnn.fit_none,0.214,0.0511,0.0821,0.031,0.0598,0.2411,43,31,10,19,38,15,23,qrnn::qrnn.fit_none,0.128,0.2781,0.2841,0.00600000000000001,0.1815,0.9095,43,31,44,35,19,34,54,qrnn::qrnn.fit_none,0.248,2.6571,3.7782,1.1211,2.6654,16.0998,43,24,11,13,33,10,26,qrnn::qrnn.fit_none,0.094,0.2939,0.2939,0,0.2258,0.7231,43,29,38,30,13,1,41
radiant.model::nn_none,0.112,0.2621,0.5412,0.2791,0.4096,2.1475,44,7,4,11,36,11,12,radiant.model::nn_none,0.122,0.0084,0.015,0.0066,0.0106,0.0664,44,8,3,9,30,8,13,radiant.model::nn_none,0.172,0.4934,0.7868,0.2934,0.5896,3.125,44,7,1,10,46,12,10,radiant.model::nn_none,0.05,3.1803,3.3593,0.179,2.459,13.9894,44,19,8,9,26,14,17,radiant.model::nn_none,0.022,0.0647,0.0771,0.0124,0.0602,0.2202,44,14,20,14,23,16,20,radiant.model::nn_none,0.022,0.0121,0.0682,0.0561,0.0555,0.1546,44,20,13,15,43,20,15,radiant.model::nn_none,0.056,2.5784,4.5795,2.0011,3.7498,11.3454,44,11,9,22,40,25,11,radiant.model::nn_none,0.01,0.283,0.283,0,0.2313,0.5677,44,17,7,6,14,8,15
rminer::fit_none,0.248,0.2335,0.3147,0.0812,0.2456,1.2905,45,17,2,1,20,1,1,rminer::fit_none,0.286,0.0095,0.0112,0.0017,0.0088,0.0373,45,16,6,5,18,5,5,rminer::fit_none,0.446,0.649,0.6668,0.0177999999999999,0.5016,3.0019,45,14,7,3,11,2,7,rminer::fit_none,0.048,3.1128,3.1819,0.0691000000000002,2.187,13.5191,45,16,4,1,15,3,8,rminer::fit_none,0.016,0.0405,0.0579,0.0174,0.0479,0.1065,45,9,1,7,27,8,3,rminer::fit_none,0.012,0.002,0.0023,0.0003,0.0018,0.0057,45,16,4,4,9,3,3,rminer::fit_none,0.082,2.3604,2.369,0.00860000000000039,1.863,7.5477,45,16,3,2,7,1,2,rminer::fit_none,0.004,0.283,0.283,0,0.2313,0.5675,45,7,4,3,15,9,10
RSNNS::mlp_BackpropBatch,6.752,1.9746,2.017,0.0424,1.5451,10.0256,46,44,42,35,15,39,34,RSNNS::mlp_BackpropBatch,6.886,0.0434,0.0851,0.0417,0.0754,0.2084,46,45,36,38,51,40,34,RSNNS::mlp_BackpropBatch,8.542,2.6668,2.6742,0.00740000000000007,2.3004,7.1688,46,44,47,45,9,46,37,RSNNS::mlp_BackpropBatch,2.068,3.5172,3.689,0.1718,2.741,14.2974,46,44,33,27,25,30,21,RSNNS::mlp_BackpropBatch,0.87,0.2601,0.2736,0.0135,0.2371,0.6099,46,38,56,55,25,55,54,RSNNS::mlp_BackpropBatch,0.812,0.312,0.3387,0.0267,0.2647,0.7662,46,39,47,42,35,38,44,RSNNS::mlp_BackpropBatch,3.266,12.1638,14.7088,2.545,11.5655,30.3793,46,44,53,51,44,50,49,RSNNS::mlp_BackpropBatch,0.788,0.6867,0.6888,0.00209999999999999,0.5629,1.6534,46,41,57,56,33,56,55
RSNNS::mlp_BackpropChunk,0.702,0.5892,0.7126,0.1234,0.5252,2.8993,47,27,27,21,24,21,18,RSNNS::mlp_BackpropChunk,0.732,0.0541,0.0657,0.0116,0.0532,0.2284,47,26,39,31,36,33,38,RSNNS::mlp_BackpropChunk,0.816,1.3784,2.6226,1.2442,2.0664,8.9928,47,18,36,42,55,36,48,RSNNS::mlp_BackpropChunk,0.212,3.5933,3.8022,0.2089,2.783,14.4056,47,28,36,33,29,33,26,RSNNS::mlp_BackpropChunk,0.09,0.0829,0.0892,0.0063,0.0732,0.2035,47,22,27,22,16,23,16,RSNNS::mlp_BackpropChunk,0.088,0.0838,0.1275,0.0437,0.0822,0.3313,47,28,27,29,38,24,27,RSNNS::mlp_BackpropChunk,0.332,3.2955,4.7181,1.4226,3.6073,15.4886,47,29,17,24,37,22,23,RSNNS::mlp_BackpropChunk,0.074,0.2912,0.6365,0.3453,0.5156,1.6363,47,23,34,53,60,53,54
RSNNS::mlp_BackpropMomentum,0.688,0.6547,0.7744,0.1197,0.5909,3.1612,48,25,31,24,22,24,20,RSNNS::mlp_BackpropMomentum,0.706,0.0558,0.0789,0.0231,0.0582,0.259,48,23,40,34,47,34,39,RSNNS::mlp_BackpropMomentum,0.822,2.6138,2.6595,0.0457000000000001,2.1268,10.0368,48,19,46,43,21,38,50,RSNNS::mlp_BackpropMomentum,0.21,3.4853,4.0633,0.578,3.1325,14.3828,48,27,32,46,54,48,24,RSNNS::mlp_BackpropMomentum,0.092,0.0752,0.0964,0.0212,0.0786,0.2134,48,26,23,24,30,24,19,RSNNS::mlp_BackpropMomentum,0.08,0.0719,0.0795,0.0076,0.0606,0.207,48,25,24,21,22,21,17,RSNNS::mlp_BackpropMomentum,0.352,3.3532,4.815,1.4618,3.7195,15.6644,48,30,18,25,38,24,24,RSNNS::mlp_BackpropMomentum,0.074,0.2968,0.3315,0.0347,0.2742,0.7631,48,24,41,43,52,43,45
RSNNS::mlp_BackpropWeightDecay,0.654,0.6328,0.7698,0.137,0.5856,3.0364,49,24,29,23,27,23,19,RSNNS::mlp_BackpropWeightDecay,0.726,0.0429,0.0595,0.0166,0.0488,0.1832,49,25,35,30,42,31,30,RSNNS::mlp_BackpropWeightDecay,0.854,1.2711,2.0728,0.8017,1.5275,7.9148,49,21,33,28,52,29,42,RSNNS::mlp_BackpropWeightDecay,0.246,3.4319,3.7632,0.3313,2.89,14.3467,49,31,25,30,40,39,23,RSNNS::mlp_BackpropWeightDecay,0.094,0.0799,0.0888,0.00890000000000001,0.0704,0.2063,49,27,25,21,20,20,17,RSNNS::mlp_BackpropWeightDecay,0.09,0.0797,0.0849,0.00520000000000001,0.0657,0.2541,49,29,25,22,17,22,24,RSNNS::mlp_BackpropWeightDecay,0.32,4.5703,6.739,2.1687,5.5508,19.8255,49,28,36,31,42,32,32,RSNNS::mlp_BackpropWeightDecay,0.082,0.3096,0.6423,0.3327,0.5179,1.6618,49,26,48,54,58,54,56
RSNNS::mlp_Quickprop,7.46,7.1667,7.319,0.1523,6.0055,29.6111,50,49,58,56,28,57,54,RSNNS::mlp_Quickprop,7.502,0.1664,0.1722,0.0058,0.1384,0.5541,50,46,58,55,27,56,54,RSNNS::mlp_Quickprop,9.656,3.4245,3.5389,0.1144,2.8752,13.1137,50,48,58,57,35,57,60,RSNNS::mlp_Quickprop,2.094,6.3871,8.1528,1.7657,6.2517,24.5588,50,45,58,58,57,58,58,RSNNS::mlp_Quickprop,0.906,0.257,0.4804,0.2234,0.4177,1.0187,50,39,52,60,60,60,60,RSNNS::mlp_Quickprop,0.822,0.2177,0.2408,0.0231,0.2084,0.5154,50,40,39,34,33,35,34,RSNNS::mlp_Quickprop,3.522,24.5455,25.0662,0.520699999999998,19.9234,51.7595,50,46,57,57,17,56,57,RSNNS::mlp_Quickprop,0.764,0.5304,0.5304,0,0.4235,1.2829,50,40,54,51,16,51,51
