event,RMSE,MSE,MAE,WAE,time
mFriedman_ANN2::neuralnetwork_rmsprop_07,0.0833,0.0069,0.0734,0.1934,0.21
mFriedman_ANN2::neuralnetwork_rmsprop_08,0.0293,0.0009,0.0231,0.099,0.22
mFriedman_ANN2::neuralnetwork_rmsprop_09,0.0338,0.0011,0.0274,0.0979,0.18
mFriedman_ANN2::neuralnetwork_rmsprop_10,0.0307,0.0009,0.0248,0.0926,0.2
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_01,0.0875,0.0077,0.0754,0.2347,8.55
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_02,0.0891,0.0079,0.0705,0.2243,8.84
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_03,0.0843,0.0071,0.075,0.2047,8.11
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_04,0.0849,0.0072,0.0745,0.221,8.7
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_05,0.0859,0.0074,0.0741,0.26,8.44
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_06,0.0846,0.0072,0.0738,0.2052,8.43
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_07,0.0903,0.0081,0.0768,0.2068,9
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_08,0.0787,0.0062,0.0633,0.2186,8.47
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_09,0.0418,0.0017,0.0318,0.1844,8.44
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_10,0.0442,0.002,0.034,0.1627,8.83
mFriedman_automl::automl_train_manual_trainwgrad_adam_01,0.0821,0.0067,0.073,0.1986,9.71
mFriedman_automl::automl_train_manual_trainwgrad_adam_02,0.0819,0.0067,0.0733,0.1756,9.46
mFriedman_automl::automl_train_manual_trainwgrad_adam_03,0.0332,0.0011,0.0269,0.0984,9.42
mFriedman_automl::automl_train_manual_trainwgrad_adam_04,0.0828,0.0069,0.0735,0.1951,9.73
mFriedman_automl::automl_train_manual_trainwgrad_adam_05,0.0808,0.0065,0.0681,0.2059,10.91
mFriedman_automl::automl_train_manual_trainwgrad_adam_06,0.0332,0.0011,0.0275,0.105,9.75
mFriedman_automl::automl_train_manual_trainwgrad_adam_07,0.0829,0.0069,0.0732,0.2195,9.47
mFriedman_automl::automl_train_manual_trainwgrad_adam_08,0.0558,0.0031,0.0427,0.2629,9.47
mFriedman_automl::automl_train_manual_trainwgrad_adam_09,0.0839,0.007,0.0731,0.2096,9.69
mFriedman_automl::automl_train_manual_trainwgrad_adam_10,0.0805,0.0065,0.068,0.1969,9.59
mFriedman_automl::automl_train_manual_trainwpso_01,0.122,0.0149,0.0962,0.3561,15.69
mFriedman_automl::automl_train_manual_trainwpso_02,0.1091,0.0119,0.0854,0.3315,18.15
mFriedman_automl::automl_train_manual_trainwpso_03,0.1315,0.0173,0.1007,0.4371,14.16
mFriedman_automl::automl_train_manual_trainwpso_04,0.1237,0.0153,0.0987,0.4099,16.57
mFriedman_automl::automl_train_manual_trainwpso_05,0.1255,0.0157,0.0976,0.3966,9.41
mFriedman_automl::automl_train_manual_trainwpso_06,0.1078,0.0116,0.0853,0.2915,19.89
mFriedman_automl::automl_train_manual_trainwpso_07,0.1272,0.0162,0.0994,0.5255,20.14
mFriedman_automl::automl_train_manual_trainwpso_08,0.1311,0.0172,0.1018,0.4264,11.55
mFriedman_automl::automl_train_manual_trainwpso_09,0.1278,0.0163,0.0981,0.4752,20.39
mFriedman_automl::automl_train_manual_trainwpso_10,0.1305,0.017,0.1038,0.4117,20.09
mFriedman_brnn::brnn_Gauss-Newton_01,0.0048,0,0.0039,0.0146,0.26
mFriedman_brnn::brnn_Gauss-Newton_02,0.0048,0,0.0039,0.0146,0.26
mFriedman_brnn::brnn_Gauss-Newton_03,0.005,0,0.004,0.0149,0.27
mFriedman_brnn::brnn_Gauss-Newton_04,0.005,0,0.004,0.0149,0.28
mFriedman_brnn::brnn_Gauss-Newton_05,0.0048,0,0.0039,0.0145,0.27
mFriedman_brnn::brnn_Gauss-Newton_06,0.0046,0,0.0037,0.0139,0.27
mFriedman_brnn::brnn_Gauss-Newton_07,0.005,0,0.004,0.0148,0.28
mFriedman_brnn::brnn_Gauss-Newton_08,0.0049,0,0.004,0.0148,0.28
mFriedman_brnn::brnn_Gauss-Newton_09,0.0165,0.0003,0.0118,0.0647,0.26
mFriedman_brnn::brnn_Gauss-Newton_10,0.0144,0.0002,0.0106,0.0566,0.25
mFriedman_caret::avNNet_none_01,0.0496,0.0025,0.0386,0.166,0.16
mFriedman_caret::avNNet_none_02,0.0538,0.0029,0.0438,0.1584,0.16
mFriedman_caret::avNNet_none_03,0.0751,0.0056,0.0595,0.2089,0.14
mFriedman_caret::avNNet_none_04,0.0515,0.0026,0.0394,0.2,0.15
mFriedman_caret::avNNet_none_05,0.0255,0.0007,0.0205,0.0817,0.15
mFriedman_caret::avNNet_none_06,0.0498,0.0025,0.0389,0.1606,0.15
mFriedman_caret::avNNet_none_07,0.052,0.0027,0.0403,0.1491,0.15
mFriedman_caret::avNNet_none_08,0.0468,0.0022,0.0374,0.1799,0.15
mFriedman_caret::avNNet_none_09,0.0627,0.0039,0.0513,0.1528,0.15
mFriedman_caret::avNNet_none_10,0.0629,0.004,0.0524,0.1626,0.15
mFriedman_CaDENCE::cadence.fit_optim_01,0.0975,0.0095,0.0455,0.4134,9.31
mFriedman_CaDENCE::cadence.fit_optim_02,0.0317,0.001,0.0148,0.1371,9.19
mFriedman_CaDENCE::cadence.fit_optim_03,0.0737,0.0054,0.052,0.1934,9.33
mFriedman_CaDENCE::cadence.fit_optim_04,0.0229,0.0005,0.0168,0.0637,9.36
mFriedman_CaDENCE::cadence.fit_optim_05,0.0804,0.0065,0.0729,0.17,9.22
mFriedman_CaDENCE::cadence.fit_optim_06,0.0381,0.0014,0.026,0.1695,9.13
mFriedman_CaDENCE::cadence.fit_optim_07,0.0791,0.0063,0.0379,0.3099,9.28
mFriedman_CaDENCE::cadence.fit_optim_08,0.1051,0.011,0.0565,0.3539,9.33
mFriedman_CaDENCE::cadence.fit_optim_09,0.0437,0.0019,0.0229,0.1691,9.19
mFriedman_CaDENCE::cadence.fit_optim_10,0.0332,0.0011,0.0215,0.1693,9.28
mFriedman_CaDENCE::cadence.fit_psoptim_01,0.1116,0.0124,0.0844,0.3222,12.2
mFriedman_CaDENCE::cadence.fit_psoptim_02,0.1454,0.0211,0.0742,0.6926,12.11
mFriedman_CaDENCE::cadence.fit_psoptim_03,0.1097,0.012,0.0828,0.3141,12.09
mFriedman_CaDENCE::cadence.fit_psoptim_04,0.1613,0.026,0.0809,0.6792,12.2
