event,RMSE,MSE,MAE,WAE,time
uDreyfus2_deepdive::deepnet_rmsProp_05,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_06,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_07,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_08,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_09,0.1625,0.0264,0.1232,0.4839,0.55
uDreyfus2_deepdive::deepnet_rmsProp_10,0.1625,0.0264,0.1232,0.4839,0.55
uDreyfus2_deepdive::deepnet_adam_01,0.1149,0.0132,0.0907,0.2749,0.58
uDreyfus2_deepdive::deepnet_adam_02,0.1149,0.0132,0.0907,0.2749,0.54
uDreyfus2_deepdive::deepnet_adam_03,0.1149,0.0132,0.0907,0.2749,0.56
uDreyfus2_deepdive::deepnet_adam_04,0.1149,0.0132,0.0907,0.2749,0.57
uDreyfus2_deepdive::deepnet_adam_05,0.1149,0.0132,0.0907,0.2749,0.55
uDreyfus2_deepdive::deepnet_adam_06,0.1149,0.0132,0.0907,0.2749,0.56
uDreyfus2_deepdive::deepnet_adam_07,0.1149,0.0132,0.0907,0.2749,0.58
uDreyfus2_deepdive::deepnet_adam_08,0.1149,0.0132,0.0907,0.2749,0.56
uDreyfus2_deepdive::deepnet_adam_09,0.1149,0.0132,0.0907,0.2749,0.56
uDreyfus2_deepdive::deepnet_adam_10,0.1149,0.0132,0.0907,0.2749,0.56
uDreyfus2_deepnet::nn.train_BP_01,0.0944,0.0089,0.0745,0.2345,0.1
uDreyfus2_deepnet::nn.train_BP_02,0.1654,0.0274,0.1259,0.4938,0.11
uDreyfus2_deepnet::nn.train_BP_03,0.1668,0.0278,0.1277,0.4857,0.08
uDreyfus2_deepnet::nn.train_BP_04,0.0933,0.0087,0.0741,0.2344,0.1
uDreyfus2_deepnet::nn.train_BP_05,0.1373,0.0189,0.1013,0.4096,0.09
uDreyfus2_deepnet::nn.train_BP_06,0.1051,0.011,0.0821,0.2523,0.11
uDreyfus2_deepnet::nn.train_BP_07,0.1545,0.0239,0.1124,0.494,0.08
uDreyfus2_deepnet::nn.train_BP_08,0.1681,0.0283,0.1282,0.4947,0.08
uDreyfus2_deepnet::nn.train_BP_09,0.0954,0.0091,0.0752,0.2356,0.09
uDreyfus2_deepnet::nn.train_BP_10,0.1689,0.0285,0.1288,0.4958,0.1
uDreyfus2_elmNNRcpp::elm_train_extremeML_01,0.3918,0.1535,0.2763,1.1122,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_02,0.5481,0.3004,0.3996,1.3861,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_03,0.5453,0.2974,0.4439,1.1869,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_04,0.5264,0.2771,0.3917,1.4629,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_05,0.6175,0.3813,0.478,1.6478,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_06,0.4326,0.1871,0.2924,1.2446,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_07,0.6412,0.4111,0.5377,1.2368,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_08,0.4216,0.1777,0.2867,1.2036,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_09,0.4748,0.2254,0.3479,1.106,0
uDreyfus2_elmNNRcpp::elm_train_extremeML_10,0.4772,0.2277,0.3494,1.1645,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_01,0.4373,0.1912,0.2959,1.2456,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_02,0.4628,0.2142,0.3067,1.3358,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_03,0.4399,0.1935,0.2921,1.2658,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_04,0.448,0.2007,0.2998,1.2843,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_05,0.4255,0.1811,0.2921,1.209,0.01
uDreyfus2_ELMR::OSelm_train.formula_extremeML_06,0.487,0.2371,0.3336,1.395,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_07,0.4359,0.19,0.3038,1.1807,0
uDreyfus2_ELMR::OSelm_train.formula_extremeML_08,0.4635,0.2148,0.305,1.34,0.01
uDreyfus2_ELMR::OSelm_train.formula_extremeML_09,0.4519,0.2043,0.2996,1.3102,0.01
uDreyfus2_ELMR::OSelm_train.formula_extremeML_10,0.5259,0.2766,0.3891,1.4622,0
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_01,0.1143,0.0131,0.0903,0.2712,0.01
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_02,0.1469,0.0216,0.1055,0.4757,0.01
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_03,0.1162,0.0135,0.0909,0.278,0.01
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_04,0.1611,0.026,0.1232,0.4727,0.01
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_05,0.1191,0.0142,0.0941,0.2784,0.02
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_06,0.161,0.0259,0.1233,0.4717,0.02
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_07,0.1611,0.0259,0.1232,0.4716,0.02
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_08,0.1466,0.0215,0.1064,0.4731,0.02
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_09,0.1215,0.0148,0.0932,0.2809,0.02
uDreyfus2_EnsembleBase::Regression.Batch.Fit_none_10,0.1428,0.0204,0.1089,0.4207,0.02
uDreyfus2_h2o::h2o.deeplearning_first-order_01,0.0929,0.0086,0.0738,0.2351,3.18
uDreyfus2_h2o::h2o.deeplearning_first-order_02,0.0926,0.0086,0.0738,0.2282,3.17
uDreyfus2_h2o::h2o.deeplearning_first-order_03,0.0963,0.0093,0.0759,0.2347,3.2
uDreyfus2_h2o::h2o.deeplearning_first-order_04,0.0931,0.0087,0.0739,0.2374,3.17
uDreyfus2_h2o::h2o.deeplearning_first-order_05,0.0926,0.0086,0.0735,0.2365,3.21
uDreyfus2_h2o::h2o.deeplearning_first-order_06,0.0932,0.0087,0.0741,0.2153,3.16
uDreyfus2_h2o::h2o.deeplearning_first-order_07,0.0928,0.0086,0.0736,0.2312,3.17
uDreyfus2_h2o::h2o.deeplearning_first-order_08,0.0957,0.0092,0.0761,0.2548,3.18
uDreyfus2_h2o::h2o.deeplearning_first-order_09,0.0935,0.0087,0.0744,0.2465,3.16
uDreyfus2_h2o::h2o.deeplearning_first-order_10,0.0929,0.0086,0.0737,0.2341,3.17
uDreyfus2_keras::fit_adadelta_01,0.58,0.3365,0.4587,1.3267,8.27
uDreyfus2_keras::fit_adadelta_02,0.6412,0.4112,0.5477,1.406,8.25
uDreyfus2_keras::fit_adadelta_03,0.5862,0.3436,0.4693,1.3152,8.2
uDreyfus2_keras::fit_adadelta_04,0.5917,0.3501,0.4878,1.2584,7.97
uDreyfus2_keras::fit_adadelta_05,0.7291,0.5315,0.6005,1.6895,8.55
