event,RMSE,MSE,MAE,WAE,time
mIshigami_minpack.lm::nlsLM_none_10,0.6116,0.374,0.4759,2.4629,0.94
mIshigami_minpack.lm::nlsLM_none_11,2.5507,6.5063,2.2069,6.2861,0.95
mIshigami_minpack.lm::nlsLM_none_12,2.3574,5.5574,1.9273,6.367,0.95
mIshigami_minpack.lm::nlsLM_none_13,2.2945,5.2645,1.868,6.1496,1.02
mIshigami_minpack.lm::nlsLM_none_14,2.1825,4.7633,1.7532,5.9604,0.92
mIshigami_minpack.lm::nlsLM_none_15,0.6972,0.4861,0.5167,2.9456,0.93
mIshigami_minpack.lm::nlsLM_none_16,1.975,3.9008,1.5087,5.4968,0.95
mIshigami_minpack.lm::nlsLM_none_17,3.6898,13.6148,2.9776,13.1137,0.92
mIshigami_minpack.lm::nlsLM_none_18,1.9813,3.9254,1.5275,5.6312,0.98
mIshigami_minpack.lm::nlsLM_none_19,1.9716,3.8874,1.5107,5.8928,1.11
mIshigami_minpack.lm::nlsLM_none_20,2.486,6.18,2.1724,5.5562,0.94
mIshigami_monmlp::monmlp.fit_BFGS_01,0.7982,0.6372,0.5943,3.1895,0.62
mIshigami_monmlp::monmlp.fit_BFGS_02,2.182,4.7612,1.7307,5.9396,0.45
mIshigami_monmlp::monmlp.fit_BFGS_03,2.2676,5.1422,1.8762,6.2189,0.44
mIshigami_monmlp::monmlp.fit_BFGS_04,0.8296,0.6882,0.6462,2.8797,0.45
mIshigami_monmlp::monmlp.fit_BFGS_05,0.8035,0.6456,0.5941,3.5394,0.45
mIshigami_monmlp::monmlp.fit_BFGS_06,0.7235,0.5234,0.5432,3.1017,0.51
mIshigami_monmlp::monmlp.fit_BFGS_07,2.3341,5.4481,1.9015,5.843,0.46
mIshigami_monmlp::monmlp.fit_BFGS_08,2.1188,4.4892,1.726,6.0045,0.46
mIshigami_monmlp::monmlp.fit_BFGS_09,0.871,0.7587,0.6475,3.5021,0.48
mIshigami_monmlp::monmlp.fit_BFGS_10,0.7115,0.5062,0.5279,3.0381,0.47
mIshigami_monmlp::monmlp.fit_BFGS_11,0.8657,0.7494,0.6464,3.23,0.5
mIshigami_monmlp::monmlp.fit_BFGS_12,0.7883,0.6215,0.5942,3.1258,0.46
mIshigami_monmlp::monmlp.fit_BFGS_13,0.7488,0.5606,0.5553,3.148,0.46
mIshigami_monmlp::monmlp.fit_BFGS_14,0.6872,0.4723,0.5133,2.8225,0.46
mIshigami_monmlp::monmlp.fit_BFGS_15,0.7213,0.5202,0.5509,3.0227,0.5
mIshigami_monmlp::monmlp.fit_BFGS_16,0.6812,0.4641,0.4968,3.289,0.5
mIshigami_monmlp::monmlp.fit_BFGS_17,0.785,0.6162,0.5862,2.995,0.45
mIshigami_monmlp::monmlp.fit_BFGS_18,0.7282,0.5303,0.5471,2.8576,0.45
mIshigami_monmlp::monmlp.fit_BFGS_19,0.7193,0.5173,0.5367,3.1124,0.49
mIshigami_monmlp::monmlp.fit_BFGS_20,0.7365,0.5425,0.558,2.9218,0.48
mIshigami_nlsr::nlxb_none_01,2.4898,6.199,2.1445,5.553,1.44
mIshigami_nlsr::nlxb_none_02,2.2944,5.2642,1.8716,6.9212,1.39
mIshigami_nlsr::nlxb_none_03,2.4604,6.0536,2.1241,5.5427,1.42
mIshigami_nlsr::nlxb_none_04,0.4749,0.2256,0.3439,2.7293,1.22
mIshigami_nlsr::nlxb_none_05,2.2897,5.2428,1.8725,6.048,1.34
mIshigami_nlsr::nlxb_none_06,0.6177,0.3816,0.4604,2.6883,1.38
mIshigami_nlsr::nlxb_none_07,2.4349,5.9287,2.0948,5.8274,1.39
mIshigami_nlsr::nlxb_none_08,2.2189,4.9236,1.8312,5.631,1.24
mIshigami_nlsr::nlxb_none_09,0.4823,0.2326,0.3654,1.9041,1.37
mIshigami_nlsr::nlxb_none_10,2.3789,5.6593,2.0821,5.7604,1.25
mIshigami_nlsr::nlxb_none_11,2.4946,6.2231,2.1448,5.6611,1.45
mIshigami_nlsr::nlxb_none_12,0.4981,0.2481,0.3644,2.7928,1.79
mIshigami_nlsr::nlxb_none_13,2.4651,6.077,2.134,6.0217,1.28
mIshigami_nlsr::nlxb_none_14,2.4891,6.1955,2.1696,5.5232,1.24
mIshigami_nlsr::nlxb_none_15,2.4541,6.0228,2.129,5.6488,1.41
mIshigami_nlsr::nlxb_none_16,0.6132,0.3761,0.4745,2.5292,1.39
mIshigami_nlsr::nlxb_none_17,1.9447,3.7819,1.4757,5.8929,1.72
mIshigami_nlsr::nlxb_none_18,1.9213,3.6913,1.4636,5.3167,1.56
mIshigami_nlsr::nlxb_none_19,2.2521,5.0721,1.8216,6.2575,1.26
mIshigami_nlsr::nlxb_none_20,2.3833,5.6801,2.0408,5.7826,1.39
mIshigami_nnet::nnet_none_01,1.0742,1.154,0.8107,4.2012,0.16
mIshigami_nnet::nnet_none_02,2.2654,5.132,1.8578,6.1548,0.13
mIshigami_nnet::nnet_none_03,0.6517,0.4247,0.4985,3.0647,0.16
mIshigami_nnet::nnet_none_04,0.5449,0.2969,0.3939,2.7601,0.17
mIshigami_nnet::nnet_none_05,0.6641,0.441,0.501,2.9019,0.15
mIshigami_nnet::nnet_none_06,0.6411,0.4111,0.4674,2.8248,0.16
mIshigami_nnet::nnet_none_07,0.6869,0.4718,0.5188,2.8194,0.15
mIshigami_nnet::nnet_none_08,0.6456,0.4168,0.4594,3.1168,0.15
mIshigami_nnet::nnet_none_09,0.6733,0.4533,0.4898,2.7677,0.14
mIshigami_nnet::nnet_none_10,0.5844,0.3415,0.4174,3.048,0.16
mIshigami_nnet::nnet_none_11,0.5927,0.3513,0.4306,3.0802,0.12
mIshigami_nnet::nnet_none_12,0.8074,0.6518,0.5975,3.269,0.15
mIshigami_nnet::nnet_none_13,0.6703,0.4493,0.5102,3.02,0.15
mIshigami_nnet::nnet_none_14,0.8445,0.7132,0.6441,3.2894,0.14
mIshigami_nnet::nnet_none_15,0.7168,0.5138,0.534,2.8974,0.14
mIshigami_nnet::nnet_none_16,0.6425,0.4128,0.489,2.4297,0.14
mIshigami_nnet::nnet_none_17,0.6561,0.4305,0.4835,2.5834,0.18
mIshigami_nnet::nnet_none_18,0.6198,0.3841,0.4573,2.7621,0.16
mIshigami_nnet::nnet_none_19,0.6857,0.4702,0.5081,3.1421,0.15
mIshigami_nnet::nnet_none_20,0.6494,0.4217,0.4791,3.2118,0.16
mIshigami_qrnn::qrnn.fit_none_01,0.8089,0.6544,0.4942,3.9196,1.29
mIshigami_qrnn::qrnn.fit_none_02,0.8137,0.6621,0.5214,4.1313,1.15
mIshigami_qrnn::qrnn.fit_none_03,0.7771,0.6039,0.479,3.9178,1.29
mIshigami_qrnn::qrnn.fit_none_04,0.6979,0.4871,0.4296,3.7777,1.15
mIshigami_qrnn::qrnn.fit_none_05,2.2972,5.277,1.7384,7.4505,1.03
mIshigami_qrnn::qrnn.fit_none_06,0.8068,0.651,0.4959,3.948,1.18
mIshigami_qrnn::qrnn.fit_none_07,0.7855,0.6169,0.4925,3.835,1.18
mIshigami_qrnn::qrnn.fit_none_08,0.7521,0.5656,0.4878,3.5707,1.17
mIshigami_qrnn::qrnn.fit_none_09,0.7953,0.6326,0.4965,3.7856,1.44
mIshigami_qrnn::qrnn.fit_none_10,0.7379,0.5445,0.4662,3.6498,0.98
mIshigami_qrnn::qrnn.fit_none_11,0.7749,0.6005,0.4792,3.8339,0.53
mIshigami_qrnn::qrnn.fit_none_12,0.7168,0.5139,0.423,4.2646,0.45
mIshigami_qrnn::qrnn.fit_none_13,0.7937,0.63,0.4913,3.8476,1.17
mIshigami_qrnn::qrnn.fit_none_14,0.792,0.6273,0.4906,3.9728,1.28
mIshigami_qrnn::qrnn.fit_none_15,0.7893,0.623,0.484,4.0107,1.13
mIshigami_qrnn::qrnn.fit_none_16,0.6113,0.3737,0.373,3.2875,1.11
mIshigami_qrnn::qrnn.fit_none_17,0.6578,0.4327,0.399,3.5337,1.17
mIshigami_qrnn::qrnn.fit_none_18,0.8333,0.6943,0.5181,4.0172,1.36
mIshigami_qrnn::qrnn.fit_none_19,0.9388,0.8813,0.6163,4.2504,1.14
mIshigami_qrnn::qrnn.fit_none_20,0.806,0.6496,0.53,3.8835,1.17
mIshigami_radiant.model::nn_none_01,0.93,0.8648,0.7409,2.7933,0.17
mIshigami_radiant.model::nn_none_02,0.7205,0.5191,0.5465,3.0574,0.19
mIshigami_radiant.model::nn_none_03,1.7982,3.2335,1.4033,5.0326,0.17
mIshigami_radiant.model::nn_none_04,0.7116,0.5063,0.5188,3.2857,0.17
mIshigami_radiant.model::nn_none_05,0.696,0.4843,0.4999,3.394,0.19
mIshigami_radiant.model::nn_none_06,2.0418,4.1689,1.6107,5.7637,0.19
mIshigami_radiant.model::nn_none_07,1.8162,3.2984,1.4386,5.0871,0.19
mIshigami_radiant.model::nn_none_08,0.5359,0.2872,0.3944,2.6997,0.19
mIshigami_radiant.model::nn_none_09,2.1497,4.6213,1.6806,5.8604,0.17
mIshigami_radiant.model::nn_none_10,0.6666,0.4444,0.5059,2.4906,0.19
mIshigami_radiant.model::nn_none_11,0.7875,0.6202,0.5957,3.2966,0.19
mIshigami_radiant.model::nn_none_12,1.5609,2.4365,1.2219,5.0592,0.18
mIshigami_radiant.model::nn_none_13,0.6609,0.4367,0.4996,2.7926,0.2
mIshigami_radiant.model::nn_none_14,1.5106,2.2819,1.1941,5.0605,0.2
mIshigami_radiant.model::nn_none_15,0.676,0.457,0.5162,2.6674,0.17
mIshigami_radiant.model::nn_none_16,2.2257,4.9537,1.8208,5.0506,0.17
mIshigami_radiant.model::nn_none_17,2.1418,4.5873,1.7207,5.5302,0.18
mIshigami_radiant.model::nn_none_18,0.6782,0.46,0.4928,3.1677,0.2
mIshigami_radiant.model::nn_none_19,0.6527,0.426,0.4987,2.7484,0.22
mIshigami_radiant.model::nn_none_20,0.6678,0.446,0.5066,2.7355,0.21
mIshigami_rminer::fit_none_01,0.663,0.4396,0.5084,2.6997,0.47
mIshigami_rminer::fit_none_02,0.6484,0.4205,0.4983,2.7958,0.44
mIshigami_rminer::fit_none_03,0.65,0.4225,0.493,2.8652,0.48
mIshigami_rminer::fit_none_04,0.6112,0.3735,0.4521,2.9015,0.47
mIshigami_rminer::fit_none_05,0.6841,0.468,0.5121,2.8359,0.47
mIshigami_rminer::fit_none_06,0.6462,0.4176,0.4877,2.4714,0.5
mIshigami_rminer::fit_none_07,0.6709,0.4501,0.5,2.6866,0.49
mIshigami_rminer::fit_none_08,0.577,0.3329,0.4412,2.3702,0.47
mIshigami_rminer::fit_none_09,0.6704,0.4494,0.4741,3.0616,0.43
mIshigami_rminer::fit_none_10,0.651,0.4238,0.4516,3.2744,0.46
mIshigami_rminer::fit_none_11,0.7627,0.5817,0.5523,3.0979,0.43
mIshigami_rminer::fit_none_12,0.5547,0.3077,0.4072,2.8258,0.47
mIshigami_rminer::fit_none_13,0.5771,0.3331,0.4212,2.772,0.46
mIshigami_rminer::fit_none_14,0.5856,0.343,0.4283,3.1609,0.43
mIshigami_rminer::fit_none_15,0.652,0.4251,0.4953,3.1128,0.43
mIshigami_rminer::fit_none_16,0.5877,0.3454,0.4153,3.1208,0.44
mIshigami_rminer::fit_none_17,0.5536,0.3065,0.3965,3.1857,0.45
mIshigami_rminer::fit_none_18,0.551,0.3036,0.3996,2.7139,0.47
mIshigami_rminer::fit_none_19,0.6518,0.4249,0.4946,2.4838,0.45
mIshigami_rminer::fit_none_20,0.6535,0.4271,0.499,2.8501,0.46
mIshigami_validann::ann_BFGS_01,0.7125,0.5076,0.5278,2.858,4.83
mIshigami_validann::ann_BFGS_02,2.4023,5.7709,2.0795,6.0169,4.91
mIshigami_validann::ann_BFGS_03,2.2626,5.1195,1.8696,5.6212,4.83
mIshigami_validann::ann_BFGS_04,0.7254,0.5262,0.543,3.283,5.11
mIshigami_validann::ann_BFGS_05,0.754,0.5685,0.5443,3.2284,4.71
mIshigami_validann::ann_BFGS_06,0.6803,0.4627,0.5067,2.6929,5
mIshigami_validann::ann_BFGS_07,0.7074,0.5004,0.517,3.3891,4.88
mIshigami_validann::ann_BFGS_08,0.7141,0.5099,0.5297,3.1597,4.96
mIshigami_validann::ann_BFGS_09,0.6619,0.438,0.5056,3.1505,4.86
mIshigami_validann::ann_BFGS_10,0.6567,0.4313,0.4974,2.8511,5.05
