event,RMSE,MSE,MAE,WAE,time
uDmod2_AMORE::train_ADAPTgd_01,0.2632,0.0693,0.2333,0.5307,0.04
uDmod2_AMORE::train_ADAPTgd_02,0.2653,0.0704,0.2342,0.5504,0.02
uDmod2_AMORE::train_ADAPTgd_03,0.2651,0.0703,0.2344,0.5405,0.01
uDmod2_AMORE::train_ADAPTgd_04,0.2579,0.0665,0.2296,0.4945,0.03
uDmod2_AMORE::train_ADAPTgd_05,0.2583,0.0667,0.2296,0.5078,0.01
uDmod2_AMORE::train_ADAPTgdwm_01,0.1924,0.037,0.1573,0.4195,0.03
uDmod2_AMORE::train_ADAPTgdwm_02,0.1145,0.0131,0.0954,0.2709,0.05
uDmod2_AMORE::train_ADAPTgdwm_03,0.2164,0.0468,0.1861,0.4584,0.03
uDmod2_AMORE::train_ADAPTgdwm_04,0.1826,0.0334,0.1467,0.393,0.04
uDmod2_AMORE::train_ADAPTgdwm_05,0.238,0.0566,0.207,0.4931,0.02
uDmod2_AMORE::train_BATCHgd_01,0.2617,0.0685,0.2335,0.4989,1.64
uDmod2_AMORE::train_BATCHgd_02,0.2644,0.0699,0.2347,0.4974,1.64
uDmod2_AMORE::train_BATCHgd_03,0.2228,0.0496,0.1859,0.4824,1.66
uDmod2_AMORE::train_BATCHgd_04,0.2802,0.0785,0.2413,0.5791,1.67
uDmod2_AMORE::train_BATCHgd_05,0.2783,0.0774,0.2401,0.5764,1.64
uDmod2_AMORE::train_BATCHgdwm_01,0.2647,0.07,0.2357,0.5224,1.68
uDmod2_AMORE::train_BATCHgdwm_02,0.1585,0.0251,0.1263,0.3859,1.65
uDmod2_AMORE::train_BATCHgdwm_03,0.2613,0.0683,0.2334,0.4898,1.64
uDmod2_AMORE::train_BATCHgdwm_04,0.2633,0.0693,0.2345,0.4931,1.64
uDmod2_AMORE::train_BATCHgdwm_05,0.2621,0.0687,0.2341,0.4895,1.64
uDmod2_ANN2::neuralnetwork_sgd_01,0.2665,0.071,0.2328,0.4871,0.02
uDmod2_ANN2::neuralnetwork_sgd_02,0.2735,0.0748,0.2401,0.5278,0
uDmod2_ANN2::neuralnetwork_sgd_03,0.2732,0.0747,0.2407,0.5272,0.01
uDmod2_ANN2::neuralnetwork_sgd_04,0.2812,0.0791,0.2406,0.6408,0.01
uDmod2_ANN2::neuralnetwork_sgd_05,0.2518,0.0634,0.2187,0.519,0.02
uDmod2_ANN2::neuralnetwork_adam_01,0.275,0.0756,0.24,0.6136,0.03
uDmod2_ANN2::neuralnetwork_adam_02,0.282,0.0795,0.2435,0.5995,0.02
uDmod2_ANN2::neuralnetwork_adam_03,0.1702,0.029,0.1343,0.3928,0.01
uDmod2_ANN2::neuralnetwork_adam_04,0.1805,0.0326,0.1423,0.4454,0.01
uDmod2_ANN2::neuralnetwork_adam_05,0.2126,0.0452,0.1747,0.463,0
uDmod2_ANN2::neuralnetwork_rmsprop_01,0.1904,0.0362,0.1478,0.4921,0.01
uDmod2_ANN2::neuralnetwork_rmsprop_02,0.2774,0.0769,0.2389,0.6311,0
uDmod2_ANN2::neuralnetwork_rmsprop_03,0.2756,0.0759,0.2415,0.5514,0.02
uDmod2_ANN2::neuralnetwork_rmsprop_04,0.2585,0.0668,0.2227,0.5952,0.02
uDmod2_ANN2::neuralnetwork_rmsprop_05,0.1831,0.0335,0.1425,0.4134,0.01
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_01,0.238,0.0566,0.1815,0.5529,1.11
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_02,0.2296,0.0527,0.1669,0.5276,1.1
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_03,0.2427,0.0589,0.1861,0.5744,1.11
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_04,0.1509,0.0228,0.1214,0.4001,1.09
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_05,0.1245,0.0155,0.1017,0.3522,1.11
uDmod2_automl::automl_train_manual_trainwgrad_adam_01,0.0867,0.0075,0.0707,0.1924,1.25
uDmod2_automl::automl_train_manual_trainwgrad_adam_02,0.2358,0.0556,0.1784,0.5602,1.29
uDmod2_automl::automl_train_manual_trainwgrad_adam_03,0.0801,0.0064,0.0652,0.1976,1.25
uDmod2_automl::automl_train_manual_trainwgrad_adam_04,0.0511,0.0026,0.0416,0.1358,1.27
uDmod2_automl::automl_train_manual_trainwgrad_adam_05,0.144,0.0207,0.1092,0.4094,1.24
uDmod2_automl::automl_train_manual_trainwpso_01,0.2682,0.072,0.2355,0.578,12.86
uDmod2_automl::automl_train_manual_trainwpso_02,0.2573,0.0662,0.2232,0.5472,11.08
uDmod2_automl::automl_train_manual_trainwpso_03,0.2697,0.0727,0.2366,0.5,8.17
uDmod2_automl::automl_train_manual_trainwpso_04,0.2032,0.0413,0.1633,0.4454,8.34
uDmod2_automl::automl_train_manual_trainwpso_05,0.2318,0.0537,0.1969,0.524,11.71
uDmod2_brnn::brnn_Gauss-Newton_01,0.0673,0.0045,0.0521,0.2005,0.01
uDmod2_brnn::brnn_Gauss-Newton_02,0.0435,0.0019,0.0346,0.1073,0.04
uDmod2_brnn::brnn_Gauss-Newton_03,0.0662,0.0044,0.0538,0.1487,0.02
uDmod2_brnn::brnn_Gauss-Newton_04,0.0673,0.0045,0.0522,0.2005,0.01
uDmod2_brnn::brnn_Gauss-Newton_05,0.0804,0.0065,0.0635,0.1838,0.02
uDmod2_CaDENCE::cadence.fit_optim_01,0.1472,0.0217,0.0982,0.4615,2.25
uDmod2_CaDENCE::cadence.fit_optim_02,0.0805,0.0065,0.0582,0.2385,2.36
uDmod2_CaDENCE::cadence.fit_optim_03,0.0688,0.0047,0.0501,0.2265,2.34
uDmod2_CaDENCE::cadence.fit_optim_04,0.0765,0.0059,0.0555,0.2314,2.33
uDmod2_CaDENCE::cadence.fit_optim_05,0.2014,0.0406,0.1364,0.6427,2.27
uDmod2_CaDENCE::cadence.fit_psoptim_01,0.2114,0.0447,0.1837,0.4148,5.11
uDmod2_CaDENCE::cadence.fit_psoptim_02,0.2529,0.0639,0.2095,0.5322,5.11
uDmod2_CaDENCE::cadence.fit_psoptim_03,0.3238,0.1049,0.2711,0.713,5.08
uDmod2_CaDENCE::cadence.fit_psoptim_04,0.3668,0.1345,0.3114,0.7338,4.83
uDmod2_CaDENCE::cadence.fit_psoptim_05,0.3445,0.1186,0.2772,0.6808,5.13
uDmod2_CaDENCE::cadence.fit_Rprop_01,0.3722,0.1385,0.2493,0.9072,5.86
uDmod2_CaDENCE::cadence.fit_Rprop_02,0.3077,0.0947,0.2061,0.6887,5.86
uDmod2_CaDENCE::cadence.fit_Rprop_03,0.2615,0.0684,0.2065,0.5592,5.66
uDmod2_CaDENCE::cadence.fit_Rprop_04,0.2551,0.0651,0.1721,0.7095,5.92
uDmod2_CaDENCE::cadence.fit_Rprop_05,0.182,0.0331,0.1427,0.4619,5.62
uDmod2_deepdive::deepnet_gradientDescent_01,0.2699,0.0729,0.2369,0.5509,5.27
uDmod2_deepdive::deepnet_gradientDescent_02,0.2699,0.0729,0.2369,0.5509,5.37
uDmod2_deepdive::deepnet_gradientDescent_03,0.2699,0.0729,0.2369,0.5509,5.33
uDmod2_deepdive::deepnet_gradientDescent_04,0.2699,0.0729,0.2369,0.5509,5.33
uDmod2_deepdive::deepnet_gradientDescent_05,0.2699,0.0729,0.2369,0.5509,5.33
uDmod2_deepdive::deepnet_momentum_01,0.2656,0.0705,0.2355,0.5269,5.45
uDmod2_deepdive::deepnet_momentum_02,0.2656,0.0705,0.2355,0.5269,5.42
uDmod2_deepdive::deepnet_momentum_03,0.2656,0.0705,0.2355,0.5269,5.44
uDmod2_deepdive::deepnet_momentum_04,0.2656,0.0705,0.2355,0.5269,5.57
uDmod2_deepdive::deepnet_momentum_05,0.2656,0.0705,0.2355,0.5269,5.42
uDmod2_deepdive::deepnet_rmsProp_01,0.2252,0.0507,0.158,0.5513,0.55
uDmod2_deepdive::deepnet_rmsProp_02,0.2252,0.0507,0.158,0.5513,0.56
uDmod2_deepdive::deepnet_rmsProp_03,0.2252,0.0507,0.158,0.5513,0.55
uDmod2_deepdive::deepnet_rmsProp_04,0.2252,0.0507,0.158,0.5513,0.56
uDmod2_deepdive::deepnet_rmsProp_05,0.2252,0.0507,0.158,0.5513,0.57
uDmod2_deepdive::deepnet_adam_01,0.3189,0.1017,0.2113,0.7209,0.57
uDmod2_deepdive::deepnet_adam_02,0.3189,0.1017,0.2113,0.7209,0.57
uDmod2_deepdive::deepnet_adam_03,0.3189,0.1017,0.2113,0.7209,0.56
uDmod2_deepdive::deepnet_adam_04,0.3189,0.1017,0.2113,0.7209,0.58
uDmod2_deepdive::deepnet_adam_05,0.3189,0.1017,0.2113,0.7209,0.58
uDmod2_deepnet::nn.train_BP_01,0.0567,0.0032,0.0471,0.1204,0.08
uDmod2_deepnet::nn.train_BP_02,0.0608,0.0037,0.049,0.1446,0.1
uDmod2_deepnet::nn.train_BP_03,0.07,0.0049,0.0549,0.1795,0.09
uDmod2_deepnet::nn.train_BP_04,0.0788,0.0062,0.0618,0.2216,0.1
uDmod2_deepnet::nn.train_BP_05,0.0563,0.0032,0.0468,0.1251,0.09
uDmod2_elmNNRcpp::elm_train_extremeML_01,0.263,0.0692,0.2285,0.541,0
uDmod2_elmNNRcpp::elm_train_extremeML_02,0.2846,0.081,0.2478,0.5419,0
uDmod2_elmNNRcpp::elm_train_extremeML_03,0.3088,0.0953,0.2481,0.7228,0
uDmod2_elmNNRcpp::elm_train_extremeML_04,0.2648,0.0701,0.2308,0.545,0
