event,RMSE,MSE,MAE,WAE,time
uDmod1_ANN2::neuralnetwork_rmsprop_08,0.2253,0.0508,0.1808,0.5399,0.04
uDmod1_ANN2::neuralnetwork_rmsprop_09,0.3648,0.1331,0.3142,0.7421,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_10,0.2822,0.0796,0.2252,0.7005,0.02
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_01,0.1868,0.0349,0.1453,0.4662,1.1
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_02,0.1861,0.0346,0.1518,0.4139,1.11
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_03,0.167,0.0279,0.1315,0.5216,1.11
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_04,0.193,0.0372,0.1482,0.4677,1.11
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_05,0.1618,0.0262,0.1324,0.4524,1.09
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_06,0.1701,0.0289,0.1416,0.4127,1.08
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_07,0.1279,0.0163,0.099,0.3617,1.11
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_08,0.2152,0.0463,0.1755,0.5188,1.12
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_09,0.1365,0.0186,0.112,0.2929,1.11
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_10,0.1697,0.0288,0.1431,0.4288,1.1
uDmod1_automl::automl_train_manual_trainwgrad_adam_01,0.1188,0.0141,0.0814,0.4494,1.24
uDmod1_automl::automl_train_manual_trainwgrad_adam_02,0.0852,0.0073,0.07,0.1878,1.24
uDmod1_automl::automl_train_manual_trainwgrad_adam_03,0.1164,0.0136,0.0781,0.46,1.24
uDmod1_automl::automl_train_manual_trainwgrad_adam_04,0.0622,0.0039,0.047,0.1801,1.25
uDmod1_automl::automl_train_manual_trainwgrad_adam_05,0.1231,0.0152,0.0912,0.4288,1.27
uDmod1_automl::automl_train_manual_trainwgrad_adam_06,0.0728,0.0053,0.0556,0.223,1.23
uDmod1_automl::automl_train_manual_trainwgrad_adam_07,0.0804,0.0065,0.0637,0.2107,1.22
uDmod1_automl::automl_train_manual_trainwgrad_adam_08,0.0667,0.0044,0.0512,0.1671,1.22
uDmod1_automl::automl_train_manual_trainwgrad_adam_09,0.0703,0.0049,0.0529,0.1796,1.25
uDmod1_automl::automl_train_manual_trainwgrad_adam_10,0.0603,0.0036,0.0476,0.146,1.25
uDmod1_automl::automl_train_manual_trainwpso_01,0.245,0.06,0.1934,0.6256,11.25
uDmod1_automl::automl_train_manual_trainwpso_02,0.2341,0.0548,0.1727,0.606,6.72
uDmod1_automl::automl_train_manual_trainwpso_03,0.2404,0.0578,0.1892,0.6431,8.94
uDmod1_automl::automl_train_manual_trainwpso_04,0.252,0.0635,0.1947,0.6358,6.33
uDmod1_automl::automl_train_manual_trainwpso_05,0.2475,0.0613,0.1838,0.6685,10.73
uDmod1_automl::automl_train_manual_trainwpso_06,0.3324,0.1105,0.2897,0.7,10.14
uDmod1_automl::automl_train_manual_trainwpso_07,0.252,0.0635,0.2069,0.5727,10.8
uDmod1_automl::automl_train_manual_trainwpso_08,0.148,0.0219,0.1159,0.4691,8.36
uDmod1_automl::automl_train_manual_trainwpso_09,0.3271,0.107,0.275,0.6048,7.28
uDmod1_automl::automl_train_manual_trainwpso_10,0.2432,0.0591,0.1819,0.6276,14
uDmod1_brnn::brnn_Gauss-Newton_01,0.0451,0.002,0.0364,0.1166,0.05
