"event","RMSE","MSE","MAE","WAE","time"
"bWoodN1_rminer::fit_none_12",3.7975,14.4211,3.0425,17.7059,11.181
"bWoodN1_rminer::fit_none_13",3.5519,12.6158,2.849,13.6683,11.462
"bWoodN1_rminer::fit_none_14",3.811,14.524,3.0528,17.8122,12.207
"bWoodN1_rminer::fit_none_15",4.5532,20.7316,3.71,18.053,11.744
"bWoodN1_rminer::fit_none_16",5.0072,25.0717,4.0545,19.1915,15.212
"bWoodN1_rminer::fit_none_17",4.4224,19.5576,3.688,14.8656,10.964
"bWoodN1_rminer::fit_none_18",3.5635,12.6984,2.8676,14.1461,11.219
"bWoodN1_rminer::fit_none_19",4.0247,16.1983,3.224,19.7665,8.57
"bWoodN1_rminer::fit_none_20",3.5631,12.696,2.8677,14.0454,12.938
"bWoodN1_validann::ann_BFGS_01",3.5628,12.6938,2.8673,13.9424,165.011
"bWoodN1_validann::ann_BFGS_02",4.717,22.2501,3.818,15.9536,126.755
"bWoodN1_validann::ann_BFGS_03",3.38,11.4245,2.7068,16.1846,183.592
"bWoodN1_validann::ann_BFGS_04",4.7814,22.8622,3.9163,19.4539,168.097
"bWoodN1_validann::ann_BFGS_05",3.576,12.7875,2.8734,14.8666,157.503
"bWoodN1_validann::ann_BFGS_06",4.4326,19.6477,3.6959,15.1741,121.618
"bWoodN1_validann::ann_BFGS_07",4.5422,20.6318,3.7039,17.0527,155.56
"bWoodN1_validann::ann_BFGS_08",4.7056,22.1429,3.7983,16.5903,127.199
"bWoodN1_validann::ann_BFGS_09",4.706,22.1467,3.7987,16.5468,97.611
"bWoodN1_validann::ann_BFGS_10",4.723,22.3068,3.8128,16.6889,147.317
"bWoodN1_validann::ann_BFGS_11",3.552,12.6169,2.8491,13.8752,136.288
"bWoodN1_validann::ann_BFGS_12",3.5691,12.7382,2.862,14.8505,164.859
"bWoodN1_validann::ann_BFGS_13",4.6996,22.086,3.8026,15.3056,138.673
"bWoodN1_validann::ann_BFGS_14",4.4519,19.8197,3.7175,14.8195,158.465
"bWoodN1_validann::ann_BFGS_15",4.7456,22.5209,3.903,16.5812,142.495
"bWoodN1_validann::ann_BFGS_16",3.3599,11.2892,2.6929,16.1344,139.081
"bWoodN1_validann::ann_BFGS_17",5.2402,27.4594,4.3244,17.2048,100.483
"bWoodN1_validann::ann_BFGS_18",3.5633,12.6969,2.8675,14.0284,156.622
"bWoodN1_validann::ann_BFGS_19",3.5791,12.8102,2.8755,15.1212,114.68
"bWoodN1_validann::ann_BFGS_20",5.0493,25.4959,4.2016,15.8316,64.433
