"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.05,12.518,28.6849,16.1669,23.0898,63.3445,1
"AMORE::train_ADAPTgdwm",0.084,14.8661,28.9286,14.0625,15.0901,75.7312,2
"AMORE::train_BATCHgd",1.694,12.083,12.6864,0.603400000000001,10.8841,27.5733,3
"AMORE::train_BATCHgdwm",1.724,12.072,12.5131,0.4411,10.6879,26.8772,4
"ANN2::neuralnetwork_adam",0.08,2.7029,9.5851,6.8822,7.9902,22.2599,5
"ANN2::neuralnetwork_rmsprop",0.076,5.521,8.521,3,7.0532,20.1249,6
"ANN2::neuralnetwork_sgd",0.08,11.0994,11.9128,0.813400000000001,10.0259,25.8843,7
"automl::automl_train_manual_trainwgrad_adam",4.982,4.4523,4.9986,0.5463,3.8522,18.0133,8
"automl::automl_train_manual_trainwgrad_RMSprop",4.482,4.9906,5.2304,0.239800000000001,4.1778,17.4681,9
"automl::automl_train_manual_trainwpso",8.586,9.8111,13.4226,3.6115,9.5187,39.8505,10
"brnn::brnn_Gauss-Newton",0.042,2.2434,2.4366,0.1932,1.8814,8.7824,11
"CaDENCE::cadence.fit_optim",2.906,2.3392,2.4124,0.0731999999999999,1.9079,7.6898,12
"CaDENCE::cadence.fit_psoptim",6.144,25.3213,29.0788,3.7575,22.9938,64.9998,13
"CaDENCE::cadence.fit_Rprop",9.07,17.7666,25.278,7.5114,17.3441,56.1202,14
"caret::avNNet_none",0.108,2.3241,2.6365,0.3124,2.0948,7.8111,15
"deepdive::deepnet_adam",0.634,20.5179,20.5179,0,16.5474,47.6354,16
"deepdive::deepnet_gradientDescent",6.084,23.6597,23.6597,0,19.1988,57.7174,17
"deepdive::deepnet_momentum",6.236,16.2557,16.2557,0,13.0878,49.2409,18
"deepdive::deepnet_rmsProp",0.658,23.5833,23.5833,0,19.1113,57.9958,19
"deepnet::nn.train_BP",0.304,3.4191,4.2839,0.8648,3.526,11.8002,20
"elmNNRcpp::elm_train_extremeML",0,17.043,18.783,1.74,15.4373,50.7429,21
"ELMR::OSelm_train.formula_extremeML",0.01,37.3986,490.0535,452.6549,426.0995,1516.4503,22
