event,RMSE,MSE,MAE,WAE,time
uDreyfus2_automl::automl_train_manual_trainwgrad_RMSprop_01,0.1178,0.0139,0.0938,0.3034,1.422
uDreyfus2_automl::automl_train_manual_trainwgrad_RMSprop_02,0.1634,0.0267,0.1249,0.492,1.418
uDreyfus2_automl::automl_train_manual_trainwgrad_RMSprop_03,0.116,0.0134,0.0925,0.2635,1.418
uDreyfus2_automl::automl_train_manual_trainwgrad_RMSprop_04,0.1158,0.0134,0.0925,0.2793,1.434
uDreyfus2_automl::automl_train_manual_trainwgrad_RMSprop_05,0.1613,0.026,0.122,0.4616,1.417
uDreyfus2_automl::automl_train_manual_trainwgrad_adam_01,0.0919,0.0084,0.0728,0.2377,1.592
uDreyfus2_automl::automl_train_manual_trainwgrad_adam_02,0.1138,0.013,0.0921,0.2653,1.465
uDreyfus2_automl::automl_train_manual_trainwgrad_adam_03,0.1134,0.0129,0.0923,0.2713,1.624
uDreyfus2_automl::automl_train_manual_trainwgrad_adam_04,0.1592,0.0254,0.1241,0.4977,1.589
uDreyfus2_automl::automl_train_manual_trainwgrad_adam_05,0.1134,0.0129,0.0902,0.2824,1.247
uDreyfus2_automl::automl_train_manual_trainwpso_01,0.1584,0.0251,0.1203,0.4841,8.244
uDreyfus2_automl::automl_train_manual_trainwpso_02,0.2665,0.071,0.2077,0.667,5.774
uDreyfus2_automl::automl_train_manual_trainwpso_03,0.1588,0.0252,0.1223,0.4675,7.476
uDreyfus2_automl::automl_train_manual_trainwpso_04,0.1608,0.0259,0.1237,0.4552,4.106
uDreyfus2_automl::automl_train_manual_trainwpso_05,0.1661,0.0276,0.1222,0.5715,4.678
