event,RMSE,MSE,MAE,WAE,time
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_01,0.087,0.0076,0.0746,0.2276,11.039
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_02,0.0866,0.0075,0.0699,0.2208,11.019
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_03,0.0863,0.0075,0.0738,0.2242,11.02
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_04,0.0877,0.0077,0.0754,0.2794,11.004
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_05,0.0848,0.0072,0.0745,0.2065,11.042
mFriedman_automl::automl_train_manual_trainwgrad_adam_01,0.0378,0.0014,0.0299,0.1388,12.29
mFriedman_automl::automl_train_manual_trainwgrad_adam_02,0.0451,0.002,0.0351,0.1982,12.245
mFriedman_automl::automl_train_manual_trainwgrad_adam_03,0.0269,7e-04,0.0213,0.0979,12.255
mFriedman_automl::automl_train_manual_trainwgrad_adam_04,0.0329,0.0011,0.0264,0.1059,12.261
mFriedman_automl::automl_train_manual_trainwgrad_adam_05,0.0277,8e-04,0.0221,0.1166,12.254
mFriedman_automl::automl_train_manual_trainwpso_01,0.1206,0.0146,0.0955,0.3114,12.11
mFriedman_automl::automl_train_manual_trainwpso_02,0.0776,0.006,0.064,0.1983,24.233
mFriedman_automl::automl_train_manual_trainwpso_03,0.0903,0.0082,0.0755,0.3151,22.414
mFriedman_automl::automl_train_manual_trainwpso_04,0.0949,0.009,0.0785,0.2851,24.523
mFriedman_automl::automl_train_manual_trainwpso_05,0.112,0.0126,0.0879,0.3313,24.349
