event,start,end,duration,RMSE,MAE,stars,params,comment
uDmod1_brnn:gaussNewton_01,17:30:50.011,17:30:50.019,0.008,0.5885,0.5088,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_02,17:30:50.020,17:30:50.041,0.021,0.0456,0.0366,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_03,17:30:50.043,17:30:50.047,0.004,0.5885,0.5088,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_04,17:30:50.049,17:30:50.058,0.009,0.3342,0.291,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_05,17:30:50.059,17:30:50.080,0.021,0.0456,0.0366,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_06,17:30:50.081,17:30:50.104,0.023,0.1155,0.0886,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_07,17:30:50.106,17:30:50.116,0.01,0.5885,0.5088,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_08,17:30:50.118,17:30:50.124,0.006,0.5885,0.5088,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_09,17:30:50.126,17:30:50.130,0.004,0.5885,0.5088,,maxiter = 200,NA
uDmod1_brnn:gaussNewton_10,17:30:50.132,17:30:50.149,0.017,0.0456,0.0366,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_01,17:37:36.726,17:37:39.288,2.562,0.0786,0.0535,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_02,17:37:39.303,17:37:42.131,2.828,0.1116,0.0598,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_03,17:37:42.131,17:37:44.797,2.666,0.1739,0.1115,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_04,17:37:44.797,17:37:47.627,2.83,0.0982,0.0618,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_05,17:37:47.627,17:37:50.444,2.817,0.1691,0.0873,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_06,17:37:50.460,17:37:53.256,2.796,0.1116,0.0751,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_07,17:37:53.256,17:37:55.759,2.503,0.3242,0.2301,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_08,17:37:55.759,17:37:58.552,2.793,0.1652,0.0862,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_09,17:37:58.568,17:38:00.866,2.298,0.2396,0.1701,,maxiter = 200,NA
uDmod1_CaDENCE:optim.BFGS_10,17:38:00.882,17:38:03.610,2.728,0.2746,0.1341,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_01,17:41:21.388,17:41:21.409,0.021,0.046,0.0348,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_02,17:41:21.411,17:41:21.421,0.01,0.0443,0.0363,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_03,17:41:21.422,17:41:21.432,0.01,0.083,0.0618,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_04,17:41:21.434,17:41:21.436,0.002,0.0579,0.049,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_05,17:41:21.436,17:41:21.451,0.015,0.0442,0.0366,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_06,17:41:21.451,17:41:21.467,0.016,0.0446,0.0359,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_07,17:41:21.467,17:41:21.467,0,0.0881,0.0615,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_08,17:41:21.467,17:41:21.482,0.015,0.0451,0.0362,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_09,17:41:21.482,17:41:21.498,0.016,0.0478,0.0397,,maxiter = 200,NA
uDmod1_MachineShop:optim.BFGS_10,17:41:21.498,17:41:21.514,0.016,0.0547,0.0433,,maxiter = 200,NA
uDmod1_minpack.lm:LM_01,17:43:19.318,17:43:19.365,0.047,0.0454,0.0348,,maxiter = 200,NA
uDmod1_minpack.lm:LM_02,17:43:19.365,17:43:19.410,0.045,0.0454,0.0348,,maxiter = 200,NA
uDmod1_minpack.lm:LM_03,17:43:19.412,17:43:19.448,0.036,0.0668,0.0538,,maxiter = 200,NA
uDmod1_minpack.lm:LM_04,17:43:19.448,17:43:19.495,0.047,0.0589,0.0457,,maxiter = 200,NA
uDmod1_minpack.lm:LM_05,17:43:19.495,17:43:19.543,0.048,0.0442,0.0348,,maxiter = 200,NA
uDmod1_minpack.lm:LM_06,17:43:19.569,17:43:19.614,0.045,0.044,0.0356,,maxiter = 200,NA
uDmod1_minpack.lm:LM_07,17:43:19.616,17:43:19.653,0.037,0.0426,0.0337,,maxiter = 200,NA
uDmod1_minpack.lm:LM_08,17:43:19.653,17:43:19.700,0.047,0.0454,0.0348,,maxiter = 200,NA
uDmod1_minpack.lm:LM_09,17:43:19.700,17:43:19.731,0.031,0.1158,0.0788,,maxiter = 200,NA
uDmod1_minpack.lm:LM_10,17:43:19.747,17:43:19.778,0.031,0.0436,0.0354,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_01,17:44:34.086,17:44:34.150,0.064,0.0546,0.0429,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_02,17:44:34.150,17:44:34.258,0.108,0.1102,0.0909,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_03,17:44:34.261,17:44:34.364,0.103,0.1139,0.0852,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_04,17:44:34.366,17:44:34.444,0.078,0.1214,0.0962,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_05,17:44:34.446,17:44:34.521,0.075,0.1051,0.0879,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_06,17:44:34.523,17:44:34.598,0.075,0.0797,0.0636,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_07,17:44:34.600,17:44:34.676,0.076,0.1049,0.0871,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_08,17:44:34.678,17:44:34.784,0.106,0.1436,0.0969,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_09,17:44:34.785,17:44:34.864,0.079,0.1039,0.0869,,maxiter = 200,NA
uDmod1_momlp:optimx.BFGS_10,17:44:34.865,17:44:34.940,0.075,0.1267,0.0988,,maxiter = 200,NA
uDmod1_neuralnet:slr_01,17:45:44.919,17:45:44.985,0.066,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_02,17:45:44.987,17:45:45.078,0.091,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_03,17:45:45.080,17:45:45.149,0.069,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_04,17:45:45.150,17:45:45.213,0.063,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_05,17:45:45.213,17:45:45.324,0.111,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_06,17:45:45.325,17:45:45.393,0.068,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_07,17:45:45.394,17:45:45.444,0.05,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_08,17:45:45.444,17:45:45.512,0.068,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_09,17:45:45.512,17:45:45.575,0.063,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr_10,17:45:45.575,17:45:45.637,0.062,0.5884,0.5069,,maxiter = 1000,NA
uDmod1_neuralnet:slr2_01,17:47:27.109,17:47:27.464,0.355,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_02,17:47:27.464,17:47:27.814,0.35,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_03,17:47:27.814,17:47:28.179,0.365,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_04,17:47:28.179,17:47:28.532,0.353,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_05,17:47:28.534,17:47:28.886,0.352,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_06,17:47:28.886,17:47:29.250,0.364,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_07,17:47:29.250,17:47:29.622,0.372,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_08,17:47:29.622,17:47:29.982,0.36,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_09,17:47:29.982,17:47:30.335,0.353,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_neuralnet:slr2_10,17:47:30.335,17:47:30.698,0.363,0.5884,0.5069,,maxiter = 5000,NA
uDmod1_nlsr:N.LM_01,17:49:17.071,17:49:17.199,0.128,0.0459,0.0364,,maxiter = 200,NA
uDmod1_nlsr:N.LM_02,17:49:17.200,17:49:17.327,0.127,0.0433,0.0349,,maxiter = 200,NA
uDmod1_nlsr:N.LM_03,17:49:17.329,17:49:17.460,0.131,0.0586,0.0449,,maxiter = 200,NA
uDmod1_nlsr:N.LM_04,17:49:17.462,17:49:17.589,0.127,0.0461,0.0364,,maxiter = 200,NA
uDmod1_nlsr:N.LM_05,17:49:17.591,17:49:17.718,0.127,0.0433,0.0349,,maxiter = 200,NA
uDmod1_nlsr:N.LM_06,17:49:17.719,17:49:17.850,0.131,0.0407,0.0316,,maxiter = 200,NA
uDmod1_nlsr:N.LM_07,17:49:17.852,17:49:17.972,0.12,0.0449,0.037,,maxiter = 200,NA
uDmod1_nlsr:N.LM_08,17:49:17.974,17:49:18.104,0.13,0.0442,0.0359,,maxiter = 200,NA
uDmod1_nlsr:N.LM_09,17:49:18.105,17:49:18.236,0.131,0.0554,0.0408,,maxiter = 200,NA
uDmod1_nlsr:N.LM_10,17:49:18.237,17:49:18.373,0.136,0.044,0.0348,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_01,17:50:16.398,17:50:16.405,0.007,0.1157,0.0772,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_02,17:50:16.406,17:50:16.414,0.008,0.0448,0.0365,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_03,17:50:16.416,17:50:16.424,0.008,0.0442,0.0361,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_04,17:50:16.425,17:50:16.434,0.009,0.0562,0.0441,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_05,17:50:16.435,17:50:16.444,0.009,0.0446,0.0365,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_06,17:50:16.446,17:50:16.455,0.009,0.0572,0.0436,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_07,17:50:16.457,17:50:16.469,0.012,0.0818,0.0625,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_08,17:50:16.470,17:50:16.479,0.009,0.1078,0.0655,,maxiter = 200,NA
uDmod1_nnet:optim.BFGS_09,17:50:16.484,17:50:16.494,0.01,0.0885,0.0684,,maxiter = 200,NA
