event,RMSE,MSE,MAE,WAE,time
uGauss3_ANN2::neuralnetwork_sgd_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_04,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_05,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_04,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_05,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_04,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_05,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_04,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_05,40.0663,1605.3073,34.1007,74.5959,0
uGauss3_ANN2::neuralnetwork_adam_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_adam_04,40.0663,1605.3073,34.1007,74.5959,0
uGauss3_ANN2::neuralnetwork_adam_05,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_01,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_02,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_03,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_04,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_rmsprop_05,40.0663,1605.3073,34.1007,74.5959,0.001
uGauss3_ANN2::neuralnetwork_sgd_01,5.1885,26.921,4.0929,14.5034,0.089
uGauss3_ANN2::neuralnetwork_sgd_02,5.1334,26.3517,4.0906,14.7013,0.089
uGauss3_ANN2::neuralnetwork_sgd_03,5.0588,25.5917,4.0406,14.8197,0.088
uGauss3_ANN2::neuralnetwork_sgd_04,5.0955,25.964,4.0561,13.3663,0.087
uGauss3_ANN2::neuralnetwork_sgd_05,5.2652,27.722,4.1956,14.6981,0.087
uGauss3_ANN2::neuralnetwork_adam_01,3.6424,13.2669,2.916,11.5099,0.097
uGauss3_ANN2::neuralnetwork_adam_02,3.6423,13.2663,2.9204,11.524,0.093
uGauss3_ANN2::neuralnetwork_adam_03,3.649,13.3152,2.7653,11.5274,0.093
uGauss3_ANN2::neuralnetwork_adam_04,4.0882,16.7137,3.2739,10.7111,0.091
uGauss3_ANN2::neuralnetwork_adam_05,4.1735,17.4182,3.3661,11.292,0.085
uGauss3_ANN2::neuralnetwork_rmsprop_01,3.1222,9.7483,2.477,8.7246,0.091
uGauss3_ANN2::neuralnetwork_rmsprop_02,3.7804,14.2913,2.9787,11.0166,0.09
uGauss3_ANN2::neuralnetwork_rmsprop_03,3.0727,9.4415,2.4536,8.7995,0.09
uGauss3_ANN2::neuralnetwork_rmsprop_04,2.8918,8.3628,2.3525,7.9657,0.088
uGauss3_ANN2::neuralnetwork_rmsprop_05,3.2491,10.5566,2.5846,9.6715,0.09
